Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.137, -0.941, 1.210, -0.998, 1.201, -0.999, 1.211, -1.000, -5.000, -44.000, 0.000, Forward, -4.18, 2.54, 27.6, 0.143
63, 1/3, 1.162, -0.862, 0.845, -0.936, 0.715, -0.975, 0.812, -0.990, -5.000, -60.000, 0.000, Forward, -2.97, 4.04, 33.6, 0.118
80, 1/3, 0.960, -0.976, 0.379, -0.974, 0.454, -0.984, 0.529, -0.990, -5.000, -48.000, 0.000, Forward, 0.36, 3.51, 52.1, 0.087
100, 1/3, 0.535, -0.966, 0.227, -0.949, 0.285, -0.971, 0.320, -0.989, -5.000, -55.000, 0.000, Forward, 9.12, 13.14, 89.1, 0.059
125, 1/3, 0.549, -0.984, 0.399, -0.991, 0.362, -0.991, 0.343, -0.996, -5.000, -48.000, 0.000, Forward, 4.95, 9.54, 75.8, 0.045
160, 1/3, 0.362, -0.892, 0.385, -0.926, 0.390, -0.975, 0.391, -0.993, -5.000, -50.000, 0.000, Forward, 18.52, 17.10, 98.6, 0.036
200, 1/3, 0.351, -0.902, 0.280, -0.943, 0.345, -0.974, 0.426, -0.990, -5.000, -60.000, 0.000, Forward, 13.76, 21.65, 96.0, 0.034
250, 1/3, 0.243, -0.859, 0.249, -0.914, 0.206, -0.973, 0.204, -0.984, -5.000, -38.000, 0.000, Forward, 19.18, 24.74, 98.8, 0.022
315, 1/3, 0.173, -0.969, 0.093, -0.983, 0.191, -0.936, 0.092, -0.988, -5.000, -26.000, 0.000, Forward, 26.70, 30.23, 99.8, 0.017
400, 1/3, 0.102, -0.969, 0.166, -0.990, 0.196, -0.986, 0.167, -0.993, -5.000, -29.000, 0.000, Forward, 23.21, 29.87, 99.5, 0.012
500, 1/3, 0.229, -0.928, 0.254, -0.910, 0.223, -0.979, 0.245, -0.992, -5.000, -58.000, 0.000, Forward, 20.35, 27.49, 99.1, 0.016
630, 1/3, 0.167, -0.993, 0.213, -0.997, 0.202, -0.998, 0.202, -0.998, -5.000, -38.000, 0.000, Forward, 17.35, 27.45, 98.2, 0.013
800, 1/3, 0.209, -0.862, 0.199, -0.986, 0.229, -0.991, 0.221, -0.997, -5.000, -52.000, 0.000, Forward, 19.92, 25.05, 99.0, 0.010
1000, 1/3, 0.255, -0.852, 0.235, -0.990, 0.232, -0.997, 0.239, -0.998, -5.000, -45.000, 0.000, Forward, 16.68, 24.97, 97.9, 0.010
1250, 1/3, 0.134, -0.953, 0.212, -0.993, 0.219, -0.996, 0.235, -0.997, -5.000, -46.000, 0.000, Forward, 18.94, 28.27, 98.7, 0.008
1600, 1/3, 0.129, -0.969, 0.181, -0.988, 0.214, -0.992, 0.231, -0.994, -5.000, -43.000, 0.000, Forward, 20.95, 28.01, 99.2, 0.010
2000, 1/3, 0.146, -0.975, 0.164, -0.978, 0.216, -0.980, 0.253, -0.990, -5.000, -48.000, 0.000, Forward, 21.70, 28.15, 99.3, 0.009
2500, 1/3, 0.197, -0.938, 0.188, -0.994, 0.206, -0.996, 0.202, -0.996, -5.000, -34.000, 0.000, Forward, 20.52, 27.97, 99.1, 0.008
3150, 1/3, 0.143, -0.980, 0.215, -0.978, 0.256, -0.989, 0.308, -0.990, -5.000, -47.000, 0.000, Forward, 19.57, 25.99, 98.9, 0.009
4000, 1/3, 0.167, -0.990, 0.208, -0.991, 0.257, -0.990, 0.180, -0.996, -5.000, -20.000, 0.000, Forward, 17.59, 23.98, 98.3, 0.014
5000, 1/3, 0.162, -0.978, 0.208, -0.997, 0.243, -0.994, 0.204, -0.997, -5.000, -24.000, 0.000, Forward, 16.98, 24.57, 98.0, 0.013
6300, 1/3, 0.132, -0.958, 0.178, -0.994, 0.203, -0.995, 0.190, -0.995, -5.000, -30.000, 0.000, Forward, 21.36, 29.71, 99.3, 0.006
8000, 1/3, 0.158, -0.774, 0.165, -0.989, 0.183, -0.994, 0.175, -0.995, -5.000, -33.000, 0.000, Forward, 23.25, 32.38, 99.5, 0.004
10000, 1/3, 0.160, -0.620, 0.172, -0.996, 0.178, -0.999, 0.179, -0.999, -5.000, -37.000, 0.000, Forward, 24.46, 34.07, 99.6, 0.003

