Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.166, -0.957, 1.236, -0.999, 1.222, -1.000, 1.218, -1.000, -5.000, -48.000, 0.000, Forward, -3.49, 2.14, 30.9, 0.146
63, 1/3, 1.187, -0.871, 0.840, -0.975, 0.699, -0.973, 0.840, -0.990, -5.000, -60.000, 0.000, Forward, -2.43, 3.19, 36.4, 0.119
80, 1/3, 0.880, -0.986, 0.347, -0.971, 0.399, -0.983, 0.430, -0.992, -5.000, -49.000, 0.000, Forward, 2.92, 4.19, 66.2, 0.080
100, 1/3, 0.508, -0.921, 0.366, -0.989, 0.350, -0.995, 0.345, -0.998, -5.000, -54.000, 0.000, Forward, 12.08, 11.29, 94.2, 0.061
125, 1/3, 0.602, -0.984, 0.509, -0.973, 0.431, -0.980, 0.377, -0.994, -5.000, -60.000, 0.000, Forward, 7.35, 8.37, 84.5, 0.048
160, 1/3, 0.334, -0.907, 0.465, -0.963, 0.389, -0.978, 0.379, -0.996, -5.000, -60.000, 0.000, Forward, 14.02, 14.26, 96.2, 0.037
200, 1/3, 0.302, -0.943, 0.536, -0.900, 0.430, -0.973, 0.455, -0.991, -5.000, -55.000, 0.000, Forward, 14.02, 17.28, 96.2, 0.032
250, 1/3, 0.382, -0.973, 0.280, -0.981, 0.312, -0.989, 0.305, -0.994, -5.000, -42.000, 0.000, Forward, 9.96, 17.82, 90.8, 0.032
315, 1/3, 0.204, -0.990, 0.202, -0.993, 0.231, -0.990, 0.223, -0.996, -5.000, -20.000, 0.000, Forward, 16.27, 26.63, 97.7, 0.019
400, 1/3, 0.173, -0.951, 0.242, -0.979, 0.230, -0.984, 0.231, -0.994, -5.000, -58.000, 0.000, Forward, 16.04, 28.33, 97.6, 0.015
500, 1/3, 0.209, -0.944, 0.274, -0.989, 0.233, -0.990, 0.219, -0.996, -5.000, -58.000, 0.000, Forward, 15.08, 22.45, 97.0, 0.018
630, 1/3, 0.255, -0.968, 0.226, -0.989, 0.257, -0.993, 0.266, -0.997, -5.000, -50.000, 0.000, Forward, 14.09, 20.67, 96.3, 0.024
800, 1/3, 0.164, -0.995, 0.220, -0.972, 0.270, -0.986, 0.306, -0.996, -5.000, -60.000, 0.000, Forward, 17.40, 23.99, 98.2, 0.014
1000, 1/3, 0.297, -0.959, 0.266, -0.995, 0.268, -0.997, 0.262, -0.998, -5.000, -34.000, 0.000, Forward, 13.62, 19.70, 95.8, 0.015
1250, 1/3, 0.113, -0.928, 0.279, -0.992, 0.301, -0.996, 0.310, -0.995, -9.000, -38.000, 0.000, Forward, 16.85, 23.38, 98.0, 0.008
1600, 1/3, 0.122, -0.967, 0.196, -0.994, 0.226, -0.995, 0.207, -0.996, -5.000, -30.000, 0.000, Forward, 19.53, 27.60, 98.9, 0.011
2000, 1/3, 0.125, -0.928, 0.191, -0.992, 0.220, -0.994, 0.214, -0.995, -5.000, -34.000, 0.000, Forward, 20.12, 28.60, 99.0, 0.010
2500, 1/3, 0.151, -0.950, 0.178, -0.996, 0.234, -0.987, 0.167, -0.996, -5.000, -22.000, 0.000, Forward, 20.39, 27.15, 99.1, 0.008
3150, 1/3, 0.111, -0.941, 0.173, -0.993, 0.221, -0.988, 0.167, -0.994, -5.000, -24.000, 0.000, Forward, 21.73, 29.55, 99.3, 0.008
4000, 1/3, 0.131, -0.945, 0.196, -0.990, 0.249, -0.986, 0.205, -0.994, -5.000, -29.000, 0.000, Forward, 19.11, 28.18, 98.8, 0.006
5000, 1/3, 0.134, -0.883, 0.186, -0.992, 0.247, -0.985, 0.196, -0.993, -5.000, -28.000, 0.000, Forward, 20.64, 28.43, 99.1, 0.005
6300, 1/3, 0.125, -0.937, 0.196, -0.993, 0.230, -0.992, 0.201, -0.997, -5.000, -30.000, 0.000, Forward, 20.10, 29.34, 99.0, 0.006
8000, 1/3, 0.117, -0.921, 0.185, -0.991, 0.211, -0.993, 0.191, -0.994, -5.000, -29.000, 0.000, Forward, 21.29, 28.97, 99.3, 0.006
10000, 1/3, 0.126, -0.894, 0.191, -0.994, 0.195, -0.998, 0.201, -0.998, -5.000, -39.000, 0.000, Forward, 21.59, 30.80, 99.3, 0.004

