Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.233, -0.967, 1.329, -0.999, 1.358, -1.000, 1.376, -1.000, -5.000, -55.000, 0.000, Forward, -5.32, 2.01, 22.7, 0.150
63, 1/3, 1.160, -0.877, 0.841, -0.956, 0.702, -0.985, 0.732, -0.991, -5.000, -42.000, 0.000, Forward, -4.02, 3.73, 28.4, 0.124
80, 1/3, 1.198, -0.969, 0.423, -0.989, 0.445, -0.992, 0.422, -0.995, -5.000, -34.000, 0.000, Forward, -2.28, 2.16, 37.1, 0.102
100, 1/3, 0.658, -0.969, 0.433, -0.982, 0.353, -0.983, 0.412, -0.990, -5.000, -60.000, 0.000, Forward, 2.97, 12.20, 66.5, 0.068
125, 1/3, 0.680, -0.965, 0.562, -0.878, 0.482, -0.964, 0.463, -0.994, -5.000, -60.000, 0.000, Forward, 1.66, 14.57, 59.4, 0.053
160, 1/3, 0.308, -0.913, 0.267, -0.975, 0.323, -0.985, 0.365, -0.994, -5.000, -55.000, 0.000, Forward, 13.27, 22.38, 95.5, 0.035
200, 1/3, 0.342, -0.962, 0.337, -0.992, 0.349, -0.989, 0.311, -0.995, -5.000, -32.000, 0.000, Forward, 10.11, 17.97, 91.1, 0.037
250, 1/3, 0.247, -0.962, 0.398, -0.973, 0.354, -0.987, 0.317, -0.990, -5.000, -51.000, 0.000, Forward, 12.75, 15.25, 95.0, 0.029
315, 1/3, 0.270, -0.988, 0.313, -0.986, 0.256, -0.984, 0.288, -0.994, -5.000, -55.000, 0.000, Forward, 13.68, 19.01, 95.9, 0.024
400, 1/3, 0.212, -0.976, 0.276, -0.972, 0.278, -0.988, 0.260, -0.995, -5.000, -56.000, 0.000, Forward, 16.41, 21.40, 97.8, 0.017
500, 1/3, 0.259, -0.995, 0.225, -0.994, 0.258, -0.991, 0.266, -0.997, -5.000, -53.000, 0.000, Forward, 14.22, 21.23, 96.4, 0.021
630, 1/3, 0.277, -0.989, 0.265, -0.982, 0.303, -0.989, 0.321, -0.997, -5.000, -60.000, 0.000, Forward, 12.83, 19.74, 95.1, 0.023
800, 1/3, 0.240, -0.980, 0.339, -0.959, 0.387, -0.982, 0.367, -0.996, -5.000, -60.000, 0.000, Forward, 16.62, 19.27, 97.9, 0.015
1000, 1/3, 0.247, -0.988, 0.330, -0.993, 0.397, -0.992, 0.400, -0.998, -5.000, -59.000, 0.000, Forward, 13.39, 18.44, 95.6, 0.018
1250, 1/3, 0.179, -0.979, 0.370, -0.990, 0.374, -0.996, 0.386, -0.998, -10.000, -36.000, 0.000, Forward, 13.89, 19.70, 96.1, 0.012
1600, 1/3, 0.155, -0.970, 0.340, -0.991, 0.374, -0.994, 0.399, -0.997, -11.000, -38.000, 0.000, Forward, 15.29, 21.15, 97.1, 0.012
2000, 1/3, 0.212, -0.983, 0.319, -0.996, 0.357, -0.995, 0.338, -0.997, -5.000, -33.000, 0.000, Forward, 14.26, 19.59, 96.4, 0.013
2500, 1/3, 0.248, -0.967, 0.379, -0.992, 0.425, -0.995, 0.425, -0.995, -5.000, -35.000, 0.000, Forward, 13.96, 18.22, 96.1, 0.011
3150, 1/3, 0.212, -0.950, 0.360, -0.993, 0.390, -0.996, 0.394, -0.996, -5.000, -36.000, 0.000, Forward, 13.83, 19.08, 96.0, 0.011
4000, 1/3, 0.217, -0.943, 0.371, -0.992, 0.429, -0.993, 0.453, -0.996, -5.000, -45.000, 0.000, Forward, 14.63, 19.19, 96.7, 0.009
5000, 1/3, 0.230, -0.956, 0.413, -0.986, 0.434, -0.995, 0.454, -0.996, -5.000, -41.000, 0.000, Forward, 14.76, 18.29, 96.8, 0.009
6300, 1/3, 0.233, -0.964, 0.335, -0.991, 0.385, -0.993, 0.290, -0.996, -5.000, -21.000, 0.000, Forward, 14.83, 20.73, 96.8, 0.009
8000, 1/3, 0.220, -0.968, 0.255, -0.996, 0.300, -0.992, 0.264, -0.997, -5.000, -29.000, 0.000, Forward, 15.20, 23.54, 97.1, 0.009
10000, 1/3, 0.254, -0.970, 0.252, -0.996, 0.274, -0.996, 0.258, -0.998, -5.000, -31.000, 0.000, Forward, 15.44, 23.25, 97.2, 0.008

