Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.266, -0.970, 1.347, -1.000, 1.375, -1.000, 1.362, -1.000, -5.000, -32.000, 0.000, Forward, -5.02, 1.97, 23.9, 0.151
63, 1/3, 1.222, -0.866, 0.837, -0.966, 0.762, -0.991, 0.747, -0.994, -5.000, -42.000, 0.000, Forward, -3.65, 2.83, 30.1, 0.122
80, 1/3, 1.178, -0.976, 0.396, -0.984, 0.410, -0.994, 0.410, -0.994, -5.000, -35.000, 0.000, Forward, 0.30, 2.22, 51.7, 0.093
100, 1/3, 0.502, -0.948, 0.256, -0.977, 0.312, -0.986, 0.305, -0.987, -5.000, -34.000, 0.000, Forward, 6.41, 12.56, 81.4, 0.060
125, 1/3, 0.645, -0.972, 0.305, -0.982, 0.345, -0.990, 0.355, -0.995, -5.000, -54.000, 0.000, Forward, 1.94, 13.35, 61.0, 0.051
160, 1/3, 0.315, -0.887, 0.293, -0.960, 0.340, -0.985, 0.386, -0.996, -5.000, -59.000, 0.000, Forward, 13.90, 20.53, 96.1, 0.035
200, 1/3, 0.352, -0.938, 0.384, -0.971, 0.366, -0.990, 0.410, -0.996, -5.000, -54.000, 0.000, Forward, 13.54, 16.55, 95.8, 0.036
250, 1/3, 0.225, -0.872, 0.376, -0.953, 0.372, -0.990, 0.364, -0.997, -5.000, -60.000, 0.000, Forward, 15.87, 19.82, 97.5, 0.025
315, 1/3, 0.199, -0.971, 0.239, -0.990, 0.283, -0.990, 0.298, -0.996, -5.000, -60.000, 0.000, Forward, 15.42, 23.27, 97.2, 0.021
400, 1/3, 0.147, -0.975, 0.245, -0.975, 0.247, -0.992, 0.299, -0.993, -5.000, -60.000, 0.000, Forward, 18.52, 24.97, 98.6, 0.014
500, 1/3, 0.195, -0.966, 0.274, -0.976, 0.239, -0.991, 0.283, -0.996, -5.000, -60.000, 0.000, Forward, 16.03, 22.03, 97.6, 0.017
630, 1/3, 0.206, -0.957, 0.301, -0.943, 0.329, -0.980, 0.316, -0.996, -5.000, -60.000, 0.000, Forward, 17.34, 20.83, 98.2, 0.021
800, 1/3, 0.215, -0.898, 0.355, -0.974, 0.328, -0.988, 0.345, -0.998, -5.000, -60.000, 0.000, Forward, 15.45, 19.20, 97.2, 0.012
1000, 1/3, 0.270, -0.970, 0.308, -0.993, 0.333, -0.996, 0.353, -0.999, -5.000, -60.000, 0.000, Forward, 13.45, 18.11, 95.7, 0.015
1250, 1/3, 0.184, -0.935, 0.332, -0.997, 0.370, -0.996, 0.362, -0.998, -10.000, -31.000, 0.000, Forward, 15.36, 20.08, 97.2, 0.011
1600, 1/3, 0.137, -0.959, 0.348, -0.995, 0.371, -0.997, 0.376, -0.998, -10.000, -39.000, 0.000, Forward, 15.59, 21.05, 97.3, 0.012
2000, 1/3, 0.137, -0.957, 0.326, -0.992, 0.402, -0.992, 0.452, -0.996, -12.000, -42.000, 0.000, Forward, 16.25, 21.09, 97.7, 0.011
2500, 1/3, 0.349, -0.891, 0.328, -0.992, 0.443, -0.984, 0.298, -0.992, -5.000, -21.000, 0.000, Forward, 15.03, 19.66, 97.0, 0.011
3150, 1/3, 0.294, -0.978, 0.358, -0.993, 0.442, -0.990, 0.340, -0.994, -5.000, -23.000, 0.000, Forward, 11.66, 16.76, 93.6, 0.016
4000, 1/3, 0.233, -0.989, 0.456, -0.989, 0.475, -0.995, 0.481, -0.998, -11.000, -32.000, 0.000, Forward, 11.35, 15.69, 93.2, 0.020
5000, 1/3, 0.221, -0.982, 0.403, -0.991, 0.444, -0.995, 0.471, -0.998, -11.000, -42.000, 0.000, Forward, 12.73, 16.60, 94.9, 0.016
6300, 1/3, 0.204, -0.965, 0.318, -0.982, 0.398, -0.988, 0.479, -0.992, -5.000, -53.000, 0.000, Forward, 16.52, 21.11, 97.8, 0.008
8000, 1/3, 0.131, -0.960, 0.244, -0.993, 0.339, -0.981, 0.461, -0.996, -12.000, -60.000, 0.000, Forward, 18.56, 24.54, 98.6, 0.006
10000, 1/3, 0.206, -0.867, 0.255, -0.998, 0.279, -0.997, 0.252, -0.998, -5.000, -24.000, 0.000, Forward, 17.87, 24.20, 98.4, 0.005

