Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.154, -0.947, 1.253, -0.998, 1.223, -0.999, 1.210, -1.000, -5.000, -59.000, 0.000, Forward, -5.15, 2.14, 23.4, 0.146
63, 1/3, 1.128, -0.877, 0.924, -0.957, 0.714, -0.972, 0.775, -0.994, -5.000, -60.000, 0.000, Forward, -3.55, 4.00, 30.6, 0.122
80, 1/3, 1.040, -0.967, 0.399, -0.976, 0.397, -0.987, 0.402, -0.991, -5.000, -38.000, 0.000, Forward, -1.81, 3.07, 39.7, 0.095
100, 1/3, 0.685, -0.977, 0.326, -0.971, 0.340, -0.987, 0.325, -0.996, -5.000, -57.000, 0.000, Forward, 4.04, 13.11, 71.7, 0.065
125, 1/3, 0.726, -0.954, 0.290, -0.923, 0.382, -0.933, 0.378, -0.985, -5.000, -60.000, 0.000, Forward, 1.75, 14.32, 60.0, 0.052
160, 1/3, 0.322, -0.909, 0.218, -0.938, 0.343, -0.937, 0.123, -0.998, -5.000, -22.000, 0.000, Forward, 18.06, 20.77, 98.5, 0.035
200, 1/3, 0.310, -0.946, 0.249, -0.995, 0.249, -0.995, 0.255, -0.995, -5.000, -36.000, 0.000, Forward, 9.68, 21.02, 90.3, 0.036
250, 1/3, 0.235, -0.958, 0.316, -0.989, 0.312, -0.994, 0.293, -0.997, -5.000, -54.000, 0.000, Forward, 11.90, 20.90, 93.9, 0.027
315, 1/3, 0.268, -0.986, 0.226, -0.989, 0.223, -0.994, 0.221, -0.997, -5.000, -44.000, 0.000, Forward, 13.31, 23.18, 95.5, 0.023
400, 1/3, 0.161, -0.982, 0.227, -0.985, 0.196, -0.987, 0.252, -0.990, -5.000, -55.000, 0.000, Forward, 18.02, 30.36, 98.4, 0.015
500, 1/3, 0.239, -0.983, 0.249, -0.992, 0.229, -0.992, 0.218, -0.995, -5.000, -51.000, 0.000, Forward, 14.45, 19.56, 96.5, 0.021
630, 1/3, 0.275, -0.983, 0.267, -0.969, 0.247, -0.986, 0.259, -0.995, -5.000, -51.000, 0.000, Forward, 16.94, 20.68, 98.0, 0.021
800, 1/3, 0.145, -0.948, 0.340, -0.996, 0.322, -0.996, 0.314, -0.999, -8.000, -60.000, 0.000, Forward, 15.37, 20.81, 97.2, 0.011
1000, 1/3, 0.247, -0.986, 0.386, -0.980, 0.379, -0.993, 0.349, -0.997, -5.000, -56.000, 0.000, Forward, 13.93, 17.79, 96.1, 0.015
1250, 1/3, 0.143, -0.887, 0.252, -0.991, 0.357, -0.980, 0.422, -0.997, -12.000, -60.000, 0.000, Forward, 16.87, 23.65, 98.0, 0.009
1600, 1/3, 0.107, -0.945, 0.201, -0.994, 0.239, -0.993, 0.220, -0.995, -11.000, -31.000, 0.000, Forward, 19.54, 26.91, 98.9, 0.010
2000, 1/3, 0.126, -0.958, 0.240, -0.991, 0.264, -0.996, 0.268, -0.999, -12.000, -32.000, 0.000, Forward, 18.50, 24.65, 98.6, 0.009
2500, 1/3, 0.130, -0.954, 0.219, -0.984, 0.282, -0.986, 0.320, -0.995, -12.000, -37.000, 0.000, Forward, 19.18, 25.34, 98.8, 0.007
3150, 1/3, 0.105, -0.898, 0.230, -0.995, 0.277, -0.990, 0.254, -0.999, -13.000, -32.000, 0.000, Forward, 19.58, 26.72, 98.9, 0.007
4000, 1/3, 0.147, -0.954, 0.216, -0.994, 0.270, -0.990, 0.211, -0.994, -5.000, -24.000, 0.000, Forward, 18.56, 25.53, 98.6, 0.007
5000, 1/3, 0.146, -0.937, 0.204, -0.994, 0.254, -0.990, 0.208, -0.995, -5.000, -26.000, 0.000, Forward, 19.72, 26.47, 98.9, 0.006
6300, 1/3, 0.160, -0.955, 0.194, -0.997, 0.234, -0.993, 0.184, -0.997, -5.000, -20.000, 0.000, Forward, 19.59, 26.97, 98.9, 0.006
8000, 1/3, 0.147, -0.981, 0.190, -0.995, 0.200, -0.997, 0.193, -0.998, -5.000, -31.000, 0.000, Forward, 19.48, 28.78, 98.9, 0.007
10000, 1/3, 0.186, -0.927, 0.198, -0.997, 0.190, -0.999, 0.191, -0.999, -5.000, -36.000, 0.000, Forward, 20.35, 30.37, 99.1, 0.005

