Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.301, -0.972, 1.346, -1.000, 1.396, -0.999, 1.352, -1.000, -5.000, -28.000, 0.000, Forward, -4.83, 1.54, 24.7, 0.153
63, 1/3, 1.221, -0.857, 0.830, -0.960, 0.758, -0.989, 0.782, -0.994, -5.000, -43.000, 0.000, Forward, -3.83, 2.57, 29.3, 0.122
80, 1/3, 1.087, -0.987, 0.404, -0.983, 0.389, -0.994, 0.390, -0.995, -5.000, -39.000, 0.000, Forward, 2.25, 2.97, 62.6, 0.086
100, 1/3, 0.512, -0.870, 0.413, -0.967, 0.405, -0.973, 0.374, -0.985, -5.000, -52.000, 0.000, Forward, 10.18, 8.58, 91.2, 0.060
125, 1/3, 0.720, -0.993, 0.376, -0.989, 0.431, -0.991, 0.434, -0.995, -5.000, -46.000, 0.000, Forward, 2.92, 8.33, 66.2, 0.056
160, 1/3, 0.325, -0.906, 0.404, -0.963, 0.399, -0.991, 0.454, -0.996, -5.000, -60.000, 0.000, Forward, 11.39, 14.13, 93.2, 0.039
200, 1/3, 0.309, -0.956, 0.369, -0.931, 0.431, -0.976, 0.379, -0.993, -5.000, -60.000, 0.000, Forward, 16.10, 19.32, 97.6, 0.032
250, 1/3, 0.257, -0.971, 0.448, -0.990, 0.429, -0.992, 0.450, -0.998, -5.000, -60.000, 0.000, Forward, 10.11, 14.62, 91.1, 0.031
315, 1/3, 0.209, -0.987, 0.363, -0.992, 0.307, -0.989, 0.392, -0.993, -5.000, -21.000, 0.000, Forward, 13.91, 18.11, 96.1, 0.020
400, 1/3, 0.277, -0.929, 0.349, -0.979, 0.364, -0.988, 0.337, -0.995, -5.000, -60.000, 0.000, Forward, 12.18, 20.38, 94.3, 0.019
500, 1/3, 0.250, -0.962, 0.370, -0.983, 0.361, -0.990, 0.328, -0.998, -5.000, -60.000, 0.000, Forward, 14.01, 18.89, 96.2, 0.023
630, 1/3, 0.224, -0.959, 0.395, -0.976, 0.367, -0.991, 0.367, -0.997, -5.000, -53.000, 0.000, Forward, 12.04, 16.55, 94.1, 0.024
800, 1/3, 0.215, -0.989, 0.378, -0.992, 0.438, -0.993, 0.411, -0.998, -11.000, -27.000, 0.000, Forward, 12.56, 18.32, 94.7, 0.017
1000, 1/3, 0.338, -0.994, 0.394, -0.993, 0.513, -0.980, 0.398, -0.996, -5.000, -29.000, 0.000, Forward, 10.34, 13.57, 91.5, 0.022
1250, 1/3, 0.222, -0.971, 0.500, -0.991, 0.481, -0.996, 0.484, -0.996, -7.000, -35.000, 0.000, Forward, 11.29, 14.34, 93.1, 0.015
1600, 1/3, 0.233, -0.979, 0.708, -0.978, 0.761, -0.990, 0.818, -0.997, -11.000, -39.000, 0.000, Forward, 12.28, 16.47, 94.4, 0.015
2000, 1/3, 0.282, -0.952, 0.850, -0.974, 0.924, -0.989, 0.994, -0.997, -11.000, -52.000, 0.000, Forward, 10.81, 14.64, 92.3, 0.016
2500, 1/3, 0.214, -0.959, 0.554, -0.986, 1.027, -0.958, 1.024, -0.994, -14.000, -60.000, 0.000, Forward, 11.65, 14.20, 93.6, 0.014
3150, 1/3, 0.165, -0.947, 0.533, -0.984, 0.643, -0.990, 0.639, -0.996, -12.000, -33.000, 0.000, Forward, 13.92, 17.05, 96.1, 0.010
4000, 1/3, 0.217, -0.932, 0.450, -0.985, 0.550, -0.990, 0.630, -0.997, -13.000, -42.000, 0.000, Forward, 14.60, 18.87, 96.7, 0.010
5000, 1/3, 0.133, -0.940, 0.421, -0.988, 0.491, -0.993, 0.512, -0.996, -12.000, -34.000, 0.000, Forward, 15.08, 19.93, 97.0, 0.009
6300, 1/3, 0.182, -0.947, 0.369, -0.988, 0.489, -0.981, 0.616, -0.997, -12.000, -58.000, 0.000, Forward, 15.26, 20.54, 97.1, 0.008
8000, 1/3, 0.160, -0.964, 0.319, -0.989, 0.404, -0.984, 0.503, -0.996, -12.000, -58.000, 0.000, Forward, 15.87, 21.45, 97.5, 0.008
10000, 1/3, 0.176, -0.959, 0.269, -0.991, 0.311, -0.990, 0.282, -0.994, -5.000, -31.000, 0.000, Forward, 16.89, 23.14, 98.0, 0.007

