Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.154, -0.953, 1.253, -0.999, 1.252, -1.000, 1.270, -1.000, -5.000, -47.000, 0.000, Forward, -4.55, 2.10, 26.0, 0.146
63, 1/3, 1.176, -0.873, 0.895, -0.966, 0.702, -0.971, 0.805, -0.991, -5.000, -54.000, 0.000, Forward, -2.91, 3.72, 33.8, 0.120
80, 1/3, 1.022, -0.982, 0.367, -0.971, 0.399, -0.983, 0.518, -0.990, -5.000, -60.000, 0.000, Forward, 0.75, 3.26, 54.3, 0.087
100, 1/3, 0.532, -0.968, 0.243, -0.961, 0.321, -0.974, 0.336, -0.993, -5.000, -60.000, 0.000, Forward, 8.75, 13.89, 88.2, 0.058
125, 1/3, 0.546, -0.978, 0.427, -0.990, 0.390, -0.993, 0.375, -0.996, -5.000, -52.000, 0.000, Forward, 3.98, 10.95, 71.5, 0.042
160, 1/3, 0.345, -0.899, 0.416, -0.882, 0.408, -0.927, 0.118, -0.990, -5.000, -20.000, 0.000, Forward, 17.56, 17.52, 98.3, 0.035
200, 1/3, 0.319, -0.933, 0.274, -0.961, 0.341, -0.982, 0.352, -0.993, -5.000, -45.000, 0.000, Forward, 13.03, 21.77, 95.3, 0.032
250, 1/3, 0.218, -0.959, 0.246, -0.976, 0.264, -0.989, 0.260, -0.996, -5.000, -49.000, 0.000, Forward, 12.09, 22.83, 94.2, 0.026
315, 1/3, 0.195, -0.993, 0.226, -0.980, 0.213, -0.989, 0.257, -0.994, -5.000, -59.000, 0.000, Forward, 14.53, 28.31, 96.6, 0.020
400, 1/3, 0.107, -0.973, 0.209, -0.981, 0.215, -0.992, 0.211, -0.996, -10.000, -46.000, 0.000, Forward, 20.22, 30.23, 99.1, 0.013
500, 1/3, 0.186, -0.966, 0.283, -0.981, 0.251, -0.983, 0.206, -0.992, -5.000, -58.000, 0.000, Forward, 16.85, 20.95, 98.0, 0.018
630, 1/3, 0.268, -0.977, 0.205, -0.986, 0.219, -0.991, 0.244, -0.995, -5.000, -53.000, 0.000, Forward, 16.73, 23.63, 97.9, 0.022
800, 1/3, 0.118, -0.964, 0.262, -0.993, 0.279, -0.993, 0.299, -0.998, -9.000, -60.000, 0.000, Forward, 16.54, 23.36, 97.8, 0.010
1000, 1/3, 0.220, -0.908, 0.310, -0.977, 0.358, -0.989, 0.357, -0.998, -5.000, -57.000, 0.000, Forward, 17.67, 20.87, 98.3, 0.010
1250, 1/3, 0.067, -0.911, 0.306, -0.993, 0.349, -0.993, 0.401, -0.998, -11.000, -58.000, 0.000, Forward, 18.78, 23.73, 98.7, 0.006
1600, 1/3, 0.128, -0.889, 0.240, -0.978, 0.260, -0.992, 0.257, -0.993, -15.000, -34.000, 0.000, Forward, 20.79, 27.07, 99.2, 0.009
2000, 1/3, 0.144, -0.892, 0.207, -0.986, 0.251, -0.991, 0.280, -0.993, -5.000, -43.000, 0.000, Forward, 20.68, 27.34, 99.2, 0.010
2500, 1/3, 0.178, -0.894, 0.209, -0.995, 0.276, -0.985, 0.198, -0.996, -5.000, -22.000, 0.000, Forward, 19.86, 26.19, 99.0, 0.007
3150, 1/3, 0.200, -0.973, 0.232, -0.990, 0.295, -0.987, 0.244, -0.994, -5.000, -29.000, 0.000, Forward, 17.30, 23.26, 98.2, 0.010
4000, 1/3, 0.173, -0.975, 0.236, -0.995, 0.298, -0.989, 0.214, -0.995, -5.000, -20.000, 0.000, Forward, 15.51, 22.51, 97.3, 0.014
5000, 1/3, 0.144, -0.974, 0.230, -0.996, 0.279, -0.993, 0.220, -0.997, -5.000, -23.000, 0.000, Forward, 17.17, 23.76, 98.1, 0.012
6300, 1/3, 0.117, -0.978, 0.194, -0.994, 0.223, -0.995, 0.223, -0.995, -5.000, -35.000, 0.000, Forward, 19.79, 27.62, 99.0, 0.006
8000, 1/3, 0.115, -0.907, 0.174, -0.993, 0.203, -0.994, 0.210, -0.995, -5.000, -38.000, 0.000, Forward, 22.86, 30.42, 99.5, 0.005
10000, 1/3, 0.155, -0.748, 0.178, -0.998, 0.186, -0.999, 0.186, -0.999, -5.000, -35.000, 0.000, Forward, 23.20, 32.29, 99.5, 0.003

