Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.132, -0.950, 1.201, -0.999, 1.172, -1.000, 1.172, -1.000, -5.000, -40.000, 0.000, Forward, -3.09, 2.67, 32.9, 0.143
63, 1/3, 1.233, -0.861, 0.754, -0.939, 0.707, -0.979, 0.865, -0.987, -5.000, -59.000, 0.000, Forward, -2.39, 3.64, 36.6, 0.117
80, 1/3, 0.857, -0.980, 0.358, -0.973, 0.461, -0.979, 0.411, -0.981, -5.000, -31.000, 0.000, Forward, 2.31, 4.08, 63.0, 0.081
100, 1/3, 0.504, -0.918, 0.355, -0.981, 0.323, -0.992, 0.322, -0.996, -5.000, -52.000, 0.000, Forward, 10.75, 10.43, 92.2, 0.061
125, 1/3, 0.486, -0.992, 0.500, -0.982, 0.424, -0.981, 0.391, -0.993, -5.000, -60.000, 0.000, Forward, 6.89, 8.15, 83.0, 0.045
160, 1/3, 0.355, -0.897, 0.420, -0.978, 0.367, -0.988, 0.367, -0.995, -5.000, -46.000, 0.000, Forward, 15.70, 15.58, 97.4, 0.037
200, 1/3, 0.338, -0.929, 0.433, -0.947, 0.375, -0.979, 0.422, -0.992, -5.000, -60.000, 0.000, Forward, 14.04, 16.79, 96.2, 0.036
250, 1/3, 0.207, -0.922, 0.322, -0.970, 0.331, -0.980, 0.353, -0.996, -5.000, -60.000, 0.000, Forward, 14.70, 17.92, 96.7, 0.023
315, 1/3, 0.190, -0.970, 0.120, -0.973, 0.198, -0.950, 0.113, -0.990, -5.000, -20.000, 0.000, Forward, 23.84, 27.78, 99.6, 0.020
400, 1/3, 0.117, -0.974, 0.245, -0.995, 0.202, -0.987, 0.243, -0.995, -5.000, -26.000, 0.000, Forward, 19.19, 27.63, 98.8, 0.013
500, 1/3, 0.250, -0.886, 0.241, -0.959, 0.208, -0.986, 0.232, -0.992, -5.000, -48.000, 0.000, Forward, 19.04, 27.20, 98.8, 0.019
630, 1/3, 0.196, -0.994, 0.190, -0.989, 0.213, -0.994, 0.216, -0.997, -5.000, -47.000, 0.000, Forward, 18.39, 25.32, 98.6, 0.015
800, 1/3, 0.203, -0.982, 0.204, -0.987, 0.210, -0.994, 0.212, -0.998, -5.000, -52.000, 0.000, Forward, 18.18, 22.83, 98.5, 0.013
1000, 1/3, 0.257, -0.959, 0.229, -0.993, 0.208, -0.996, 0.213, -0.997, -5.000, -39.000, 0.000, Forward, 14.15, 24.73, 96.3, 0.013
1250, 1/3, 0.178, -0.949, 0.200, -0.982, 0.206, -0.994, 0.215, -0.995, -5.000, -41.000, 0.000, Forward, 15.90, 27.25, 97.5, 0.010
1600, 1/3, 0.125, -0.963, 0.209, -0.990, 0.208, -0.996, 0.208, -0.996, -5.000, -35.000, 0.000, Forward, 18.99, 29.22, 98.8, 0.011
2000, 1/3, 0.123, -0.954, 0.172, -0.989, 0.206, -0.992, 0.216, -0.993, -5.000, -39.000, 0.000, Forward, 21.66, 29.72, 99.3, 0.010
2500, 1/3, 0.147, -0.944, 0.176, -0.980, 0.212, -0.986, 0.138, -0.991, -5.000, -21.000, 0.000, Forward, 21.78, 28.80, 99.3, 0.007
3150, 1/3, 0.105, -0.870, 0.171, -0.995, 0.211, -0.992, 0.203, -0.995, -14.000, -31.000, 0.000, Forward, 23.13, 30.48, 99.5, 0.007
4000, 1/3, 0.135, -0.945, 0.175, -0.992, 0.223, -0.988, 0.152, -0.994, -5.000, -20.000, 0.000, Forward, 21.27, 28.61, 99.3, 0.006
5000, 1/3, 0.150, -0.845, 0.181, -0.990, 0.213, -0.993, 0.216, -0.993, -5.000, -36.000, 0.000, Forward, 21.20, 28.58, 99.2, 0.005
6300, 1/3, 0.134, -0.860, 0.208, -0.985, 0.213, -0.995, 0.215, -0.996, -5.000, -37.000, 0.000, Forward, 20.22, 29.13, 99.1, 0.005
8000, 1/3, 0.162, -0.802, 0.194, -0.986, 0.195, -0.996, 0.201, -0.996, -5.000, -38.000, 0.000, Forward, 20.76, 30.03, 99.2, 0.006
10000, 1/3, 0.167, -0.799, 0.178, -0.996, 0.185, -0.998, 0.189, -0.998, -5.000, -41.000, 0.000, Forward, 22.70, 31.10, 99.5, 0.004

