Format is freq (Hz), BW (octaves), EDT (s), r, T20 (s), r, T30 (s), r, Topt (s), r, ToptStart (dB), ToptEnd (dB), T60M (s), reverse/forward/zero phase filtered, C50 (dB), C80 (dB), D50 (%), TS (s)
50, 1/3, 1.140, -0.937, 1.218, -0.997, 1.199, -0.999, 1.171, -1.000, -5.000, -53.000, 0.000, Forward, -4.94, 2.47, 24.3, 0.144
63, 1/3, 1.194, -0.864, 0.904, -0.942, 0.736, -0.975, 0.720, -0.992, -5.000, -60.000, 0.000, Forward, -3.86, 3.93, 29.1, 0.121
80, 1/3, 0.968, -0.960, 0.414, -0.981, 0.500, -0.987, 0.533, -0.993, -5.000, -47.000, 0.000, Forward, -2.18, 3.48, 37.7, 0.094
100, 1/3, 0.719, -0.976, 0.299, -0.976, 0.284, -0.987, 0.288, -0.994, -5.000, -47.000, 0.000, Forward, 3.84, 12.86, 70.8, 0.066
125, 1/3, 0.781, -0.932, 0.293, -0.963, 0.334, -0.971, 0.328, -0.992, -5.000, -50.000, 0.000, Forward, 0.81, 11.76, 54.7, 0.056
160, 1/3, 0.362, -0.891, 0.162, -0.995, 0.320, -0.954, 0.161, -0.996, -5.000, -26.000, 0.000, Forward, 17.60, 20.02, 98.3, 0.037
200, 1/3, 0.373, -0.866, 0.262, -0.956, 0.305, -0.979, 0.309, -0.987, -5.000, -39.000, 0.000, Forward, 12.60, 21.87, 94.8, 0.035
250, 1/3, 0.205, -0.883, 0.202, -0.975, 0.230, -0.984, 0.198, -0.992, -5.000, -32.000, 0.000, Forward, 19.69, 27.00, 98.9, 0.024
315, 1/3, 0.174, -0.981, 0.183, -0.973, 0.244, -0.976, 0.281, -0.990, -5.000, -60.000, 0.000, Forward, 18.06, 27.95, 98.5, 0.017
400, 1/3, 0.148, -0.988, 0.201, -0.977, 0.197, -0.991, 0.198, -0.996, -5.000, -52.000, 0.000, Forward, 17.07, 27.67, 98.1, 0.015
500, 1/3, 0.178, -0.973, 0.180, -0.984, 0.193, -0.991, 0.187, -0.994, -5.000, -43.000, 0.000, Forward, 18.26, 25.97, 98.5, 0.018
630, 1/3, 0.186, -0.977, 0.206, -0.993, 0.211, -0.997, 0.213, -0.998, -5.000, -42.000, 0.000, Forward, 17.72, 25.33, 98.3, 0.014
800, 1/3, 0.188, -0.983, 0.201, -0.990, 0.214, -0.994, 0.210, -0.997, -5.000, -47.000, 0.000, Forward, 18.00, 24.39, 98.4, 0.014
1000, 1/3, 0.173, -0.969, 0.246, -0.987, 0.250, -0.995, 0.245, -0.998, -5.000, -45.000, 0.000, Forward, 17.88, 23.60, 98.4, 0.010
1250, 1/3, 0.129, -0.935, 0.260, -0.990, 0.268, -0.996, 0.264, -0.998, -8.000, -47.000, 0.000, Forward, 15.88, 24.48, 97.5, 0.009
1600, 1/3, 0.122, -0.952, 0.184, -0.988, 0.217, -0.991, 0.245, -0.994, -5.000, -48.000, 0.000, Forward, 21.15, 28.53, 99.2, 0.011
2000, 1/3, 0.168, -0.951, 0.191, -0.986, 0.234, -0.988, 0.254, -0.992, -5.000, -42.000, 0.000, Forward, 20.71, 26.71, 99.2, 0.008
2500, 1/3, 0.132, -0.872, 0.199, -0.987, 0.232, -0.991, 0.237, -0.991, -5.000, -36.000, 0.000, Forward, 21.35, 28.11, 99.3, 0.006
3150, 1/3, 0.128, -0.842, 0.214, -0.988, 0.253, -0.994, 0.282, -0.994, -5.000, -43.000, 0.000, Forward, 22.29, 27.89, 99.4, 0.007
4000, 1/3, 0.146, -0.911, 0.219, -0.995, 0.249, -0.995, 0.210, -0.996, -5.000, -23.000, 0.000, Forward, 19.82, 25.74, 99.0, 0.006
5000, 1/3, 0.141, -0.898, 0.217, -0.996, 0.227, -0.998, 0.227, -0.998, -5.000, -35.000, 0.000, Forward, 19.53, 27.00, 98.9, 0.005
6300, 1/3, 0.165, -0.942, 0.195, -0.993, 0.214, -0.996, 0.181, -0.997, -5.000, -21.000, 0.000, Forward, 20.21, 28.21, 99.1, 0.006
8000, 1/3, 0.130, -0.945, 0.199, -0.992, 0.205, -0.997, 0.209, -0.997, -5.000, -37.000, 0.000, Forward, 20.57, 29.65, 99.1, 0.005
10000, 1/3, 0.170, -0.830, 0.176, -0.998, 0.180, -0.999, 0.181, -0.999, -5.000, -36.000, 0.000, Forward, 22.86, 32.30, 99.5, 0.004

