* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:35:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SBWOOFER_SCIANA
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158198, 70.535, -124.4800
87.524409, 69.476, -124.7646
87.890619, 69.676, -121.6367
88.256830, 70.667, -123.6401
88.623041, 71.338, -130.7327
88.989252, 71.262, -138.2888
89.355463, 70.684, -141.2910
89.721674, 70.648, -137.9165
90.087885, 71.946, -136.0703
90.454096, 73.599, -142.8535
90.820307, 74.520, -156.2710
91.186518, 74.152, -172.1719
91.552729, 71.812, 175.0757
91.918939, 66.571, -171.0254
92.285150, 70.366, -117.0361
92.651361, 76.975, -121.1528
93.017572, 80.931, -140.0918
93.383783, 83.360, -162.8809
93.749994, 84.752, 172.8013
94.116205, 85.320, 147.8396
94.482416, 85.145, 122.7842
94.848627, 84.218, 98.1357
95.214838, 82.446, 74.5417
95.581049, 79.620, 53.2512
95.947259, 75.346, 37.8467
96.313470, 69.547, 41.9976
96.679681, 68.141, 75.6875
97.045892, 70.830, 79.5615
97.412103, 71.805, 65.6741
97.778314, 71.017, 48.2131
98.144525, 68.555, 33.1270
98.510736, 64.361, 29.3340
98.876947, 61.103, 53.3066
99.243158, 63.051, 70.6821
99.609369, 64.602, 63.6038
99.975579, 64.282, 48.5029
100.341790, 62.141, 32.3635
100.708001, 57.904, 21.6877
101.074212, 51.874, 37.9221
101.440423, 52.815, 77.8096
101.806634, 55.631, 77.8228
102.172845, 55.800, 65.6494
102.539056, 53.133, 52.6816
102.905267, 44.704, 50.3765
103.271478, 45.090, 177.2849
103.637689, 53.358, 176.9463
104.003899, 56.363, 169.2048
104.370110, 57.293, 163.9192
104.736321, 57.247, 165.7244
105.102532, 57.920, 176.8740
105.468743, 60.656, -174.3850
105.834954, 64.069, -177.5527
106.201165, 66.981, 171.0708
106.567376, 69.146, 155.7339
106.933587, 70.554, 138.7209
107.299798, 71.224, 121.2659
107.666009, 71.171, 104.2246
108.032219, 70.419, 88.4934
108.398430, 69.038, 75.3289
108.764641, 67.226, 66.4441
109.130852, 65.453, 63.0293
109.497063, 64.291, 63.0557
109.863274, 63.700, 61.9351
110.229485, 63.067, 58.3289
110.595696, 62.004, 54.7507
110.961907, 60.680, 54.3550
111.328118, 59.746, 56.9873
111.694328, 59.435, 57.1729
112.060539, 59.010, 51.2686
112.426750, 57.644, 41.2461
112.792961, 54.713, 32.7773
113.159172, 50.188, 40.7163
113.525383, 49.638, 71.9023
113.891594, 52.105, 69.8391
114.257805, 51.949, 37.0706
114.624016, 52.439, -35.6079
114.990227, 58.969, -96.9668
115.356438, 64.393, -131.9031
115.722648, 67.983, -159.3628
116.088859, 70.253, 175.6157
116.455070, 71.511, 151.7070
116.821281, 71.928, 128.7354
117.187492, 71.582, 107.1956
117.553703, 70.498, 88.3040
117.919914, 68.710, 74.3933
118.286125, 66.561, 69.2078
118.652336, 65.230, 73.8298
119.018547, 65.515, 78.1504
119.384758, 66.149, 74.7468
119.750968, 66.068, 67.1201
120.117179, 65.101, 60.9680
120.483390, 63.828, 61.7830
120.849601, 63.709, 68.6882
121.215812, 64.973, 70.1396
121.582023, 66.118, 62.8943
121.948234, 66.282, 52.1614
122.314445, 65.233, 44.7466
122.680656, 63.715, 50.9939
123.046867, 65.105, 68.4736
123.413078, 68.845, 68.9929
123.779288, 71.973, 54.8164
124.145499, 74.105, 34.1262
124.511710, 75.405, 10.3462
124.877921, 76.007, -15.0232
125.244132, 75.975, -41.1833
125.610343, 75.313, -67.6516
125.976554, 73.968, -94.1089
126.342765, 71.820, -120.2705
126.708976, 68.612, -145.6580
127.075187, 63.712, -168.8005
127.441398, 54.869, 179.6980
127.807608, 50.433, -88.4602
128.173819, 57.739, -88.4619
128.540030, 59.748, -106.4585
128.906241, 59.406, -123.5273
129.272452, 57.268, -133.1531
129.638663, 54.403, -122.2612
130.004874, 55.677, -96.5354
130.371085, 59.175, -93.3889
130.737296, 61.455, -103.0444
131.103507, 62.388, -115.7847
131.469718, 62.116, -126.8352
131.835928, 60.864, -130.6318
132.202139, 59.997, -120.3562
132.568350, 61.871, -107.1274
132.934561, 64.799, -108.1350
133.300772, 66.862, -118.3474
133.666983, 67.677, -130.9387
134.033194, 67.161, -140.0747
134.399405, 65.804, -135.8103
134.765616, 67.030, -115.0427
135.131827, 71.379, -109.5002
135.498037, 75.227, -120.5312
135.864248, 77.979, -138.3215
136.230459, 79.796, -158.8242
136.596670, 80.817, 179.7136
136.962881, 81.114, 158.3787
137.329092, 80.707, 138.2258
137.695303, 79.606, 120.7556
138.061514, 77.932, 108.4780
138.427725, 76.276, 104.4705
138.793936, 75.876, 106.3074
139.160147, 76.856, 103.3435
139.526357, 77.978, 91.8818
139.892568, 78.548, 74.8589
140.258779, 78.401, 55.0068
140.624990, 77.510, 34.0247
140.991201, 75.852, 13.1985
141.357412, 73.398, -5.9563
141.723623, 70.200, -20.8494
142.089834, 66.810, -27.4255
142.456045, 64.872, -26.9312
142.822256, 64.948, -33.5745
143.188467, 65.610, -52.5710
143.554677, 66.269, -78.7551
143.920888, 66.945, -106.7014
144.287099, 67.609, -132.6406
144.653310, 68.163, -154.7866
145.019521, 68.575, -172.8794
145.385732, 68.887, 172.4548
145.751943, 69.141, 160.1646
146.118154, 69.320, 149.2874
146.484365, 69.370, 139.3601
146.850576, 69.253, 130.4441
147.216787, 68.987, 122.8203
147.582997, 68.634, 116.6313
147.949208, 68.261, 111.7305
148.315419, 67.903, 107.8440
148.681630, 67.581, 104.8184
149.047841, 67.345, 102.5188
149.414052, 67.263, 100.3960
149.780263, 67.318, 97.4312
150.146474, 67.358, 92.8479
150.512685, 67.164, 86.7722
150.878896, 66.552, 80.2351
151.245107, 65.426, 74.9773
151.611317, 63.849, 73.4065
151.977528, 62.224, 77.9946
152.343739, 61.349, 88.0552
152.709950, 61.561, 97.6978
153.076161, 62.281, 103.1147
153.442372, 63.026, 105.1785
153.808583, 63.693, 105.2141
154.174794, 64.261, 103.5571
154.541005, 64.634, 100.3152
154.907216, 64.673, 96.1396
155.273427, 64.282, 92.3950
155.639637, 63.490, 91.0747
156.005848, 62.589, 94.3254
