* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:29:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LEFT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158198, 64.729, -121.0623
87.524409, 64.136, -121.1755
87.890619, 64.505, -121.6123
88.256830, 65.070, -126.5640
88.623041, 65.112, -133.6494
88.989252, 64.552, -137.9761
89.355463, 64.137, -135.5649
89.721674, 65.037, -131.0039
90.087885, 66.773, -134.0356
90.454096, 68.042, -144.9446
90.820307, 68.180, -159.4722
91.186518, 66.706, -172.5078
91.552729, 63.042, -170.6567
91.918939, 62.906, -127.7034
92.285150, 69.186, -118.2771
92.651361, 73.546, -133.1494
93.017572, 76.285, -154.3225
93.383783, 77.912, -177.8286
93.749994, 78.669, 157.6160
94.116205, 78.655, 132.6262
94.482416, 77.884, 107.6455
94.848627, 76.288, 83.1711
95.214838, 73.686, 60.0603
95.581049, 69.671, 40.5576
95.947259, 63.451, 33.9456
96.313470, 58.691, 73.3706
96.679681, 62.377, 90.6035
97.045892, 64.049, 76.9939
97.412103, 63.388, 56.8333
97.778314, 60.412, 35.6848
98.144525, 53.227, 19.3875
98.510736, 45.647, 132.0928
98.876947, 56.540, 132.1956
99.243158, 59.823, 113.1880
99.609369, 60.637, 93.5938
99.975579, 59.874, 75.4990
100.341790, 57.750, 60.7471
100.708001, 54.293, 53.3794
101.074212, 50.291, 63.1545
101.440423, 49.506, 86.9958
101.806634, 51.143, 92.8340
102.172845, 51.823, 83.7092
102.539056, 50.887, 67.1267
102.905267, 47.755, 42.7864
103.271478, 41.307, -10.2190
103.637689, 43.859, -107.6345
104.003899, 48.967, -142.5999
104.370110, 50.768, -157.5833
104.736321, 51.053, -155.1604
105.102532, 53.443, -138.1697
105.468743, 58.134, -135.0269
105.834954, 62.176, -146.2961
106.201165, 65.082, -163.7246
106.567376, 67.010, 176.3291
106.933587, 68.100, 155.4773
107.299798, 68.427, 134.6482
107.666009, 68.016, 114.5916
108.032219, 66.852, 96.1792
108.398430, 64.909, 80.7620
108.764641, 62.228, 70.7444
109.130852, 59.210, 69.8281
109.497063, 57.056, 78.6689
109.863274, 56.454, 88.0183
110.229485, 56.360, 92.4072
110.595696, 56.178, 95.1216
110.961907, 56.144, 97.9209
111.328118, 56.343, 98.7241
111.694328, 56.322, 96.2974
112.060539, 55.583, 93.0520
112.426750, 54.038, 94.5757
112.792961, 52.786, 107.1980
113.159172, 53.735, 122.3223
113.525383, 55.574, 125.7468
113.891594, 56.551, 121.8845
114.257805, 56.338, 119.0918
114.624016, 55.629, 126.0312
114.990227, 56.785, 141.9531
115.356438, 59.935, 147.4033
115.722648, 62.815, 140.1353
116.088859, 64.765, 126.6033
116.455070, 65.807, 110.4578
116.821281, 66.020, 93.6462
117.187492, 65.448, 77.6748
117.553703, 64.118, 64.3660
117.919914, 62.158, 56.5454
118.286125, 60.180, 57.5913
118.652336, 59.434, 65.0469
119.018547, 59.962, 68.3650
119.384758, 60.467, 64.8096
119.750968, 60.288, 58.6504
120.117179, 59.435, 54.6479
120.483390, 58.491, 56.4829
120.849601, 58.475, 62.1882
121.215812, 59.405, 63.7588
121.582023, 60.250, 58.9287
121.948234, 60.364, 51.3181
122.314445, 59.634, 46.0854
122.680656, 58.678, 49.4526
123.046867, 59.374, 60.2935
123.413078, 61.956, 62.8984
123.779288, 64.566, 53.7463
124.145499, 66.474, 37.9470
124.511710, 67.629, 18.8472
124.877921, 68.087, -1.8782
125.244132, 67.891, -23.2510
125.610343, 67.059, -44.4397
125.976554, 65.582, -64.3279
126.342765, 63.458, -80.9133
126.708976, 60.868, -90.4072
127.075187, 58.837, -88.7615
127.441398, 58.954, -83.6030
127.807608, 60.316, -88.1514
128.173819, 61.383, -101.4146
128.540030, 61.720, -119.0613
128.906241, 61.280, -138.4644
129.272452, 60.023, -157.7693
129.638663, 57.822, -174.6650
130.004874, 54.471, 175.7454
130.371085, 50.682, -174.5908
130.737296, 50.707, -150.1196
131.103507, 52.890, -145.5024
131.469718, 53.686, -151.8696
131.835928, 52.792, -156.1104
132.202139, 51.329, -145.3013
132.568350, 53.077, -125.0532
132.934561, 56.609, -123.5044
133.300772, 59.012, -134.1172
133.666983, 59.876, -147.3928
134.033194, 59.103, -155.9622
134.399405, 57.436, -145.7200
134.765616, 59.985, -119.3503
135.131827, 65.103, -118.0969
135.498037, 69.028, -132.0266
135.864248, 71.747, -151.2346
136.230459, 73.540, -172.3887
136.596670, 74.580, 166.0076
136.962881, 74.962, 144.9614
137.329092, 74.748, 125.4385
137.695303, 74.031, 108.5818
138.061514, 73.025, 95.6414
138.427725, 72.170, 86.9211
138.793936, 71.927, 79.8020
139.160147, 72.235, 69.9338
139.526357, 72.598, 55.4675
139.892568, 72.617, 37.1731
140.258779, 72.089, 16.3933
140.624990, 70.907, -5.7754
140.991201, 68.980, -28.4358
141.357412, 66.194, -50.4824
141.723623, 62.415, -69.5503
142.089834, 57.767, -79.1172
142.456045, 54.582, -70.1665
142.822256, 55.683, -66.3977
143.188467, 57.609, -81.7700
143.554677, 58.942, -104.5488
143.920888, 59.730, -128.0227
144.287099, 60.125, -149.0652
144.653310, 60.310, -166.1680
145.019521, 60.521, -179.2705
145.385732, 60.923, 170.0615
145.751943, 61.431, 159.6970
146.118154, 61.772, 148.6724
146.484365, 61.694, 137.5999
146.850576, 61.078, 128.2468
147.216787, 60.040, 123.3291
147.582997, 59.191, 125.2561
147.949208, 59.507, 130.8184
148.315419, 60.893, 131.6450
148.681630, 62.348, 125.4260
149.047841, 63.309, 114.5752
149.414052, 63.610, 101.4097
149.780263, 63.194, 87.4883
150.146474, 61.990, 74.0969
150.512685, 59.863, 62.9402
150.878896, 56.613, 57.6501
151.245107, 52.499, 67.8972
151.611317, 51.091, 99.5173
151.977528, 53.349, 117.4026
152.343739, 55.154, 120.2507
152.709950, 56.038, 120.0132
153.076161, 56.519, 121.2148
153.442372, 57.130, 123.8828
153.808583, 58.028, 125.5803
154.174794, 58.954, 124.8574
154.541005, 59.642, 122.4885
154.907216, 60.039, 120.1853
155.273427, 60.322, 119.2751
155.639637, 60.783, 119.5903
156.005848, 61.566, 119.2122
156.372059, 62.493, 116.2468
156.738270, 63.235, 110.4634
157.104481, 63.542, 102.9614
157.470692, 63.275, 95.4717
157.836903, 62.414, 90.2976
158.203114, 61.200, 90.4116
158.569325, 60.408, 97.3262
158.935536, 60.819, 105.7759
159.301746, 61.911, 109.0181
159.667957, 62.791, 107.7844
160.034168, 63.212, 106.0164
160.400379, 63.470, 106.7634
160.766590, 64.138, 109.6707
161.132801, 65.378, 110.6716
161.499012, 66.686, 107.2737
161.865223, 67.553, 100.8188
162.231434, 67.788, 94.4028
162.597645, 67.576, 91.8162
162.963856, 67.727, 95.4998
163.330066, 69.217, 100.2805
163.696277, 71.577, 97.8840
164.062488, 73.783, 87.9446
164.428699, 75.413, 73.3853
164.794910, 76.390, 56.3857
165.161121, 76.721, 38.2693
165.527332, 76.418, 19.9551
165.893543, 75.481, 2.3003
166.259754, 73.904, -13.5977
166.625965, 71.703, -26.0286
166.992176, 69.068, -32.3276
167.358386, 66.680, -30.2197
167.724597, 65.521, -23.5911
168.090808, 65.352, -20.6279
168.457019, 65.201, -22.3594
168.823230, 64.713, -25.5598
169.189441, 64.045, -28.0540
169.555652, 63.464, -30.1531
169.921863, 62.967, -33.7510
170.288074, 62.218, -39.7981
170.654285, 60.791, -47.1987
171.020496, 58.255, -52.7766
171.386706, 54.214, -48.1211
171.752917, 51.051, -13.3125
172.119128, 54.196, 17.1711
172.485339, 57.466, 20.7795
172.851550, 59.448, 16.3918
173.217761, 60.610, 10.0969
173.583972, 61.286, 3.4250
173.950183, 61.632, -3.3364
174.316394, 61.684, -10.0129
174.682605, 61.439, -16.0710
175.048816, 60.937, -20.6072
175.415026, 60.333, -22.7725
175.781237, 59.885, -22.6431
176.147448, 59.776, -21.7600
176.513659, 59.926, -21.9460
176.879870, 60.109, -23.6692
177.246081, 60.191, -26.1812
177.612292, 60.196, -28.6201
177.978503, 60.230, -30.8301
178.344714, 60.350, -33.4431
178.710925, 60.478, -37.1426
179.077136, 60.464, -41.8823
179.443346, 60.196, -46.7820
179.809557, 59.685, -50.4922
180.175768, 59.112, -51.8528
180.541979, 58.795, -51.0557
180.908190, 58.909, -50.2251
181.274401, 59.266, -51.4639
181.640612, 59.533, -54.7722
