* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:37:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SUB_LEWO
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158198, 62.942, -136.8809
87.524409, 62.097, -130.6055
87.890619, 63.203, -124.2258
88.256830, 64.753, -128.1580
88.623041, 65.322, -137.9463
88.989252, 64.507, -146.1658
89.355463, 62.766, -142.0972
89.721674, 63.415, -122.9917
90.087885, 66.824, -119.2607
90.454096, 69.411, -132.0540
90.820307, 70.352, -151.9756
91.186518, 69.220, -175.2410
91.552729, 63.884, 159.0737
91.918939, 57.060, -39.8494
92.285150, 71.530, -69.7144
92.651361, 77.250, -96.5728
93.017572, 80.666, -123.3394
93.383783, 82.798, -150.1318
93.749994, 84.000, -176.9326
94.116205, 84.425, 156.3281
94.482416, 84.127, 129.7920
94.848627, 83.095, 103.7234
95.214838, 81.236, 78.6309
95.581049, 78.328, 55.6545
95.947259, 73.912, 38.1904
96.313470, 67.542, 40.8203
96.679681, 66.007, 80.7979
97.045892, 69.277, 84.5059
97.412103, 70.397, 69.2290
97.778314, 69.620, 50.2688
98.144525, 67.113, 32.9297
98.510736, 62.697, 24.9177
98.876947, 58.259, 46.3701
99.243158, 60.005, 69.2012
99.609369, 61.844, 62.4746
99.975579, 61.580, 46.5100
100.341790, 59.183, 29.6682
100.708001, 53.927, 20.3132
101.074212, 46.925, 61.5234
101.440423, 52.174, 96.6499
101.806634, 54.992, 85.7134
102.172845, 55.030, 67.3684
102.539056, 52.810, 47.3076
102.905267, 47.506, 26.3228
103.271478, 30.596, -14.9758
103.637689, 41.908, -177.1250
104.003899, 45.235, 169.3979
104.370110, 43.048, -179.9004
104.736321, 46.511, -120.4150
105.102532, 54.685, -113.4490
105.468743, 60.018, -125.4502
105.834954, 63.639, -142.2061
106.201165, 66.117, -160.8633
106.567376, 67.711, 179.6448
106.933587, 68.546, 159.9922
107.299798, 68.684, 140.8096
107.666009, 68.161, 122.8462
108.032219, 67.009, 107.0979
108.398430, 65.307, 94.8628
108.764641, 63.256, 87.4438
109.130852, 61.192, 85.0283
109.497063, 59.320, 85.8528
109.863274, 57.467, 88.6848
110.229485, 55.589, 95.4385
110.595696, 54.410, 106.2314
110.961907, 54.119, 113.0798
111.328118, 53.243, 112.5898
111.694328, 50.085, 114.4949
112.060539, 46.276, 160.0146
112.426750, 52.960, -166.2175
112.792961, 57.552, -173.1296
113.159172, 59.335, 173.7876
113.525383, 58.483, 165.1738
113.891594, 55.381, -173.9949
114.257805, 60.381, -130.5161
114.624016, 66.854, -133.2356
114.990227, 71.029, -149.4958
115.356438, 73.734, -169.8167
115.722648, 75.428, 168.1929
116.088859, 76.341, 145.6401
116.455070, 76.578, 123.3787
116.821281, 76.154, 102.2659
117.187492, 75.029, 83.3413
117.553703, 73.143, 68.2339
117.919914, 70.567, 59.9846
118.286125, 68.043, 62.6992
118.652336, 67.211, 72.1418
119.018547, 67.813, 74.3782
119.384758, 68.213, 68.0969
119.750968, 67.791, 58.6257
120.117179, 66.495, 50.8445
120.483390, 64.654, 49.9587
120.849601, 63.528, 58.7893
121.215812, 64.255, 67.2744
121.582023, 65.551, 66.0110
121.948234, 66.167, 58.0776
122.314445, 65.740, 48.6172
122.680656, 64.231, 43.4519
123.046867, 62.514, 51.7742
123.413078, 63.692, 69.6172
123.779288, 67.051, 71.7156
124.145499, 69.887, 60.2451
124.511710, 71.772, 42.6157
124.877921, 72.809, 21.9622
125.244132, 73.108, -0.4014
125.610343, 72.732, -23.7366
125.976554, 71.691, -47.3767
126.342765, 69.918, -70.4336
126.708976, 67.236, -91.3589
