* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:30:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RIGHT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158198, 64.870, -122.3013
87.524409, 65.048, -123.5146
87.890619, 65.600, -128.0256
88.256830, 65.711, -135.5233
88.623041, 64.985, -141.2577
88.989252, 63.896, -138.0516
89.355463, 64.481, -126.2727
89.721674, 66.948, -123.5264
90.087885, 69.088, -132.8762
90.454096, 70.003, -147.7529
90.820307, 69.351, -162.6973
91.186518, 66.628, -168.4526
91.552729, 64.348, -136.9572
91.918939, 70.121, -114.3431
92.285150, 75.171, -125.5072
92.651361, 78.441, -145.7172
93.017572, 80.508, -168.9369
93.383783, 81.665, 166.6018
93.749994, 82.050, 141.6725
94.116205, 81.708, 116.7830
94.482416, 80.616, 92.4504
94.848627, 78.676, 69.4688
95.214838, 75.684, 49.5426
95.581049, 71.330, 37.5764
95.947259, 66.410, 48.4255
96.313470, 66.486, 74.1531
96.679681, 68.609, 73.3777
97.045892, 69.257, 60.5583
97.412103, 68.501, 46.1549
97.778314, 66.699, 35.5598
98.144525, 64.645, 33.1033
98.510736, 63.752, 35.9003
98.876947, 63.967, 32.3365
99.243158, 63.853, 19.6157
99.609369, 62.610, 1.1348
99.975579, 59.753, -20.5620
100.341790, 54.203, -44.4127
100.708001, 38.376, -75.6387
101.074212, 47.254, 90.7423
101.440423, 51.461, 63.9175
101.806634, 50.804, 36.6674
102.172845, 45.635, 2.2389
102.539056, 39.046, -125.0186
102.905267, 49.213, 174.7896
103.271478, 53.027, 150.7454
103.637689, 54.252, 134.3777
104.003899, 54.039, 126.1055
104.370110, 53.587, 129.0791
104.736321, 54.663, 138.2605
105.102532, 57.060, 140.2808
105.468743, 59.346, 133.6321
105.834954, 61.020, 122.2666
106.201165, 62.048, 108.7725
106.567376, 62.459, 94.5732
106.933587, 62.266, 80.7078
107.299798, 61.472, 68.3542
107.666009, 60.141, 59.2354
108.032219, 58.572, 55.5745
108.398430, 57.509, 57.6863
108.764641, 57.524, 60.0720
109.130852, 58.080, 57.0918
109.497063, 58.413, 49.2007
109.863274, 58.237, 39.2424
110.229485, 57.614, 29.6697
110.595696, 56.822, 21.6917
110.961907, 56.199, 14.2957
111.328118, 55.795, 4.6201
111.694328, 55.285, -9.3135
112.060539, 54.267, -27.1624
112.426750, 52.421, -46.5146
112.792961, 49.509, -60.9275
113.159172, 46.897, -53.4714
113.525383, 50.207, -38.9587
113.891594, 55.368, -51.7942
114.257805, 59.519, -75.4863
114.624016, 62.736, -101.8149
114.990227, 65.181, -128.3975
115.356438, 66.939, -154.5088
115.722648, 68.054, -179.9146
116.088859, 68.544, 155.5273
116.455070, 68.405, 132.0603
116.821281, 67.604, 110.2087
117.187492, 66.085, 91.0901
117.553703, 63.821, 77.1040
117.919914, 61.149, 72.8271
118.286125, 59.598, 80.1165
118.652336, 60.172, 85.2031
119.018547, 61.080, 79.7134
119.384758, 61.115, 68.7307
119.750968, 60.016, 58.1655
120.117179, 57.965, 54.8582
120.483390, 56.565, 65.4238
120.849601, 57.907, 75.6726
121.215812, 59.867, 71.2219
121.582023, 60.743, 58.5486
121.948234, 60.154, 44.6431
122.314445, 57.903, 37.9119
122.680656, 55.767, 56.5217
123.046867, 59.444, 77.0669
123.413078, 63.907, 68.5791
123.779288, 66.965, 48.5784
124.145499, 68.916, 24.2415
124.511710, 70.021, -2.2493
124.877921, 70.428, -30.1135
125.244132, 70.221, -59.0464
125.610343, 69.446, -88.9009
125.976554, 68.116, -119.5454
126.342765, 66.195, -150.8440
126.708976, 63.569, 177.2249
127.075187, 60.005, 144.2534
127.441398, 55.078, 108.5979
127.807608, 48.049, 64.1560
128.173819, 39.605, -11.8831
128.540030, 36.037, -99.5728
128.906241, 25.880, 113.3391
129.272452, 42.923, 19.7781
129.638663, 49.555, -15.3069
130.004874, 53.170, -44.8408
130.371085, 55.115, -71.1711
130.737296, 55.756, -94.2571
131.103507, 55.124, -112.6018
131.469718, 53.210, -121.1755
131.835928, 51.496, -108.9358
132.202139, 53.891, -91.3660
132.568350, 57.462, -94.5249
132.934561, 59.815, -108.0471
133.300772, 60.801, -124.1130
133.666983, 60.371, -137.8411
134.033194, 58.528, -140.7693
134.399405, 57.921, -119.1504
134.765616, 62.209, -104.4343
135.131827, 66.555, -112.8176
135.498037, 69.616, -130.0720
135.864248, 71.622, -150.4143
136.230459, 72.778, -171.6123
136.596670, 73.196, 167.6462
136.962881, 72.949, 148.5847
137.329092, 72.150, 132.7253
137.695303, 71.104, 121.7690
138.061514, 70.441, 115.6819
138.427725, 70.656, 109.8870
138.793936, 71.382, 99.1738
139.160147, 71.949, 82.8525
139.526357, 71.988, 62.5020
139.892568, 71.342, 39.5459
140.258779, 69.905, 14.8142
140.624990, 67.530, -11.3647
140.991201, 63.945, -39.1353
141.357412, 58.521, -69.4280
