* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:31:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
87.158198, 70.920, -120.4873
87.524409, 70.939, -122.6617
87.890619, 71.271, -127.1316
88.256830, 71.238, -133.6395
88.623041, 70.562, -137.8802
88.989252, 69.853, -134.3732
89.355463, 70.681, -126.1827
89.721674, 72.797, -126.4236
90.087885, 74.535, -136.3961
90.454096, 75.137, -150.9111
90.820307, 74.219, -164.8098
91.186518, 71.314, -167.7570
91.552729, 69.851, -133.8826
91.918939, 75.596, -116.5123
92.285150, 80.300, -128.5728
92.651361, 83.338, -148.8073
93.017572, 85.222, -171.9364
93.383783, 86.215, 163.6686
93.749994, 86.441, 138.7474
94.116205, 85.935, 113.8033
94.482416, 84.658, 89.3621
94.848627, 82.483, 66.2435
95.214838, 79.139, 46.2998
95.581049, 74.165, 35.5291
95.947259, 68.804, 54.6862
96.313470, 70.242, 81.6675
96.679681, 72.409, 75.7876
97.045892, 72.622, 59.6984
97.412103, 71.109, 42.4730
97.778314, 67.839, 30.0936
98.144525, 63.152, 36.1445
98.510736, 62.301, 66.0847
98.876947, 64.815, 70.9900
99.243158, 65.754, 59.5624
99.609369, 64.875, 44.6482
99.975579, 62.224, 32.4404
100.341790, 57.887, 32.7913
100.708001, 55.128, 59.2283
101.074212, 56.898, 74.1888
101.440423, 57.867, 68.2288
101.806634, 56.843, 56.5891
102.172845, 53.492, 46.9409
102.539056, 46.283, 55.3649
102.905267, 44.911, 139.2208
103.271478, 51.425, 156.7377
103.637689, 54.448, 157.6652
104.003899, 56.094, 158.7554
104.370110, 57.328, 162.2692
104.736321, 58.833, 167.4919
105.102532, 60.967, 170.7787
105.468743, 63.447, 168.5012
105.834954, 65.755, 160.3706
106.201165, 67.576, 148.0621
106.567376, 68.790, 133.3586
106.933587, 69.356, 117.6885
107.299798, 69.264, 102.2361
107.666009, 68.529, 88.1608
108.032219, 67.229, 76.7694
108.398430, 65.582, 69.3549
108.764641, 63.985, 66.1094
109.130852, 62.753, 64.8217
109.497063, 61.715, 62.8741
109.863274, 60.461, 60.8099
110.229485, 58.946, 62.0244
110.595696, 57.863, 68.3440
110.961907, 57.811, 73.7760
111.328118, 57.934, 71.9761
111.694328, 57.078, 64.5925
112.060539, 54.469, 57.2964
112.426750, 49.585, 64.3779
112.792961, 47.998, 105.8845
113.159172, 51.025, 114.4108
113.525383, 50.312, 97.3853
113.891594, 39.220, 27.7559
114.257805, 54.369, -101.7458
114.624016, 62.467, -129.7988
114.990227, 67.221, -153.9050
115.356438, 70.310, -176.9678
115.722648, 72.252, 160.5542
116.088859, 73.269, 138.5981
116.455070, 73.465, 117.3340
116.821281, 72.881, 97.2695
117.187492, 71.511, 79.5493
117.553703, 69.370, 66.6111
117.919914, 66.807, 62.9946
118.286125, 65.283, 70.7361
118.652336, 65.817, 77.0054
119.018547, 66.718, 73.3743
119.384758, 66.786, 64.6992
119.750968, 65.807, 57.0068
120.117179, 64.178, 56.5708
120.483390, 63.494, 65.9094
120.849601, 64.779, 71.8367
121.215812, 66.294, 66.5349
121.582023, 66.851, 55.2991
121.948234, 66.123, 44.4670
122.314445, 64.213, 42.8647
122.680656, 63.588, 60.6238
123.046867, 66.987, 71.6206
123.413078, 70.620, 62.0676
123.779288, 73.173, 43.0820
124.145499, 74.773, 19.9956
124.511710, 75.590, -5.1846
124.877921, 75.713, -31.6040
125.244132, 75.171, -58.9065
125.610343, 73.946, -87.0063
125.976554, 71.975, -115.9788
126.342765, 69.102, -146.0315
126.708976, 64.933, -177.7876
127.075187, 58.221, 145.2378
127.441398, 46.037, 46.5811
127.807608, 54.757, -56.3679
128.173819, 58.098, -90.6558
128.540030, 58.241, -117.0986
128.906241, 55.938, -137.2842
129.272452, 50.566, -138.3271
129.638663, 49.875, -85.0708
130.004874, 55.950, -79.0325
130.371085, 59.187, -94.0161
130.737296, 60.510, -111.7229
131.103507, 60.329, -127.1902
131.469718, 58.758, -134.6497
131.835928, 57.090, -123.0171
132.202139, 59.230, -103.7051
132.568350, 62.843, -104.5659
132.934561, 65.287, -116.7346
133.300772, 66.342, -131.8616
133.666983, 65.976, -144.6743
134.033194, 64.277, -146.3840
134.399405, 64.030, -124.8730
134.765616, 68.329, -111.6409
135.131827, 72.597, -120.0435
135.498037, 75.626, -136.9307
135.864248, 77.627, -156.8604
136.230459, 78.804, -177.6870
136.596670, 79.281, 161.8572
136.962881, 79.149, 142.9109
137.329092, 78.532, 126.7483
137.695303, 77.692, 114.5715
138.061514, 77.089, 106.1836
138.427725, 77.084, 98.3772
138.793936, 77.484, 87.1738
139.160147, 77.798, 71.3982
139.526357, 77.681, 51.9600
139.892568, 76.959, 30.0813
140.258779, 75.516, 6.7246
140.624990, 73.209, -17.3564
140.991201, 69.799, -41.2642
141.357412, 64.797, -62.6587
141.723623, 57.298, -69.5825
142.089834, 53.797, -27.9246
142.456045, 58.074, -30.4197
142.822256, 60.551, -58.8784
143.188467, 62.138, -90.9150
143.554677, 63.243, -119.8687
143.920888, 63.917, -143.1760
144.287099, 64.318, -160.1248
144.653310, 64.782, -171.6191
145.019521, 65.548, 179.4141
145.385732, 66.458, 169.9109
145.751943, 67.147, 159.0278
146.118154, 67.352, 147.8123
146.484365, 66.994, 138.1377
146.850576, 66.197, 132.3245
147.216787, 65.431, 132.2876
147.582997, 65.453, 136.3169
147.949208, 66.425, 138.3301
148.315419, 67.698, 135.0276
148.681630, 68.734, 127.4299
149.047841, 69.333, 117.3386
149.414052, 69.442, 106.0669
149.780263, 69.031, 94.5735
150.146474, 68.056, 83.8066
150.512685, 66.460, 75.1118
150.878896, 64.236, 70.8372
151.245107, 61.697, 74.8481
151.611317, 60.033, 88.8694
151.977528, 60.199, 103.4312
152.343739, 61.084, 110.8081
152.709950, 61.770, 114.0676
153.076161, 62.290, 116.8293
153.442372, 62.955, 119.5566
153.808583, 63.846, 120.4707
154.174794, 64.710, 118.3708
154.541005, 65.247, 113.8372
154.907216, 65.280, 108.4978
155.273427, 64.778, 104.4941
155.639637, 63.923, 104.3596
156.005848, 63.284, 109.6750
156.372059, 63.557, 117.3091
156.738270, 64.559, 121.2585
157.104481, 65.509, 120.3823
157.470692, 65.966, 117.4456
157.836903, 65.929, 115.7900
158.203114, 65.789, 117.8364
158.569325, 66.176, 122.5308
158.935536, 67.205, 125.1301
159.301746, 68.288, 123.3184
159.667957, 68.920, 118.9778
160.034168, 68.996, 115.4995
160.400379, 68.844, 116.0837
160.766590, 69.222, 120.6978
161.132801, 70.467, 123.7761
161.499012, 71.917, 121.4531
161.865223, 72.895, 115.4773
162.231434, 73.198, 109.7305
162.597645, 73.113, 108.5469
162.963856, 73.650, 113.5503
163.330066, 75.623, 117.3228
163.696277, 78.205, 112.6514
164.062488, 80.450, 100.8010
164.428699, 82.059, 84.8010
164.794910, 83.001, 66.6228
165.161121, 83.292, 47.4431
165.527332, 82.944, 28.0955
165.893543, 81.948, 9.3823
166.259754, 80.273, -7.6267
166.625965, 77.896, -21.1494
166.992176, 74.944, -28.0188
167.358386, 72.181, -24.5642
167.724597, 71.011, -15.0984
168.090808, 71.125, -11.2349
168.457019, 71.164, -13.7761
168.823230, 70.722, -18.2163
169.189441, 70.016, -21.8086
169.555652, 69.390, -24.8223
169.921863, 68.870, -29.6428
170.288074, 68.064, -37.8469
170.654285, 66.409, -48.9807
171.020496, 63.104, -61.2163
171.386706, 55.707, -68.2852
171.752917, 50.457, 53.7952
172.119128, 61.034, 57.6499
172.485339, 65.008, 45.5532
172.851550, 66.943, 32.8030
173.217761, 67.815, 21.1189
173.583972, 68.044, 11.1616
173.950183, 67.891, 3.2214
174.316394, 67.546, -2.6978
174.682605, 67.151, -6.8364
175.048816, 66.811, -9.6541
175.415026, 66.588, -11.8286
175.781237, 66.471, -14.1321
176.147448, 66.378, -17.0762
176.513659, 66.197, -20.5908
176.879870, 65.865, -24.0391
177.246081, 65.417, -26.5757
177.612292, 64.998, -27.7656
177.978503, 64.771, -28.1919
178.344714, 64.754, -29.1960
178.710925, 64.780, -31.6057
179.077136, 64.649, -34.9841
179.443346, 64.284, -37.9766
179.809557, 63.807, -39.1077
180.175768, 63.526, -38.0095
180.541979, 63.704, -36.5100
180.908190, 64.225, -37.1760
181.274401, 64.725, -40.6467
181.640612, 64.947, -45.5820
182.006823, 64.865, -49.8958
182.373034, 64.722, -51.8047
182.739245, 64.977, -51.5112
183.105455, 65.883, -52.2131
183.471666, 67.147, -56.9998
183.837877, 68.316, -66.1255
184.204088, 69.127, -78.2886
184.570299, 69.490, -92.0793
184.936510, 69.403, -106.3232
185.302721, 68.908, -120.0234
185.668932, 68.095, -132.3206
186.035143, 67.102, -142.6423
186.401354, 66.095, -151.0391
186.767565, 65.171, -158.3140
187.133775, 64.267, -165.3923
187.499986, 63.204, -172.2927
187.866197, 61.841, -177.6367
188.232408, 60.289, -178.9050
188.598619, 59.161, -174.5688
188.964830, 59.158, -168.8086
189.331041, 59.901, -168.0728
189.697252, 60.507, -172.7444
190.063463, 60.530, -179.7349
190.429674, 59.869, 174.4277
190.795885, 58.717, 173.6230
191.162095, 57.881, -179.0220
191.528306, 58.552, -168.1414
191.894517, 60.399, -163.5112
