Freq(Hz), SPL(dB), Phase(degrees)
92.651361, 76.377, -149.0640
93.017572, 76.406, -156.0969
93.383783, 76.425, -162.9033
93.749994, 76.432, -169.4893
94.116205, 76.429, -175.8599
94.482416, 76.414, 177.9785
94.848627, 76.389, 172.0205
95.214838, 76.354, 166.2598
95.581049, 76.308, 160.6899
95.947259, 76.251, 155.3037
96.313470, 76.185, 150.0942
96.679681, 76.109, 145.0532
97.045892, 76.024, 140.1719
97.412103, 75.931, 135.4414
97.778314, 75.829, 130.8511
98.144525, 75.719, 126.3911
98.510736, 75.601, 122.0498
98.876947, 75.477, 117.8147
99.243158, 75.345, 113.6738
99.609369, 75.208, 109.6138
99.975579, 75.065, 105.6208
100.341790, 74.917, 101.6812
100.708001, 74.764, 97.7800
101.074212, 74.607, 93.9031
101.440423, 74.446, 90.0354
101.806634, 74.282, 86.1624
102.172845, 74.115, 82.2690
102.539056, 73.945, 78.3408
102.905267, 73.774, 74.3638
103.271478, 73.600, 70.3240
103.637689, 73.426, 66.2083
104.003899, 73.251, 62.0039
104.370110, 73.077, 57.6992
104.736321, 72.902, 53.2832
105.102532, 72.728, 48.7454
105.468743, 72.555, 44.0769
105.834954, 72.384, 39.2690
106.201165, 72.215, 34.3152
106.567376, 72.049, 29.2085
106.933587, 71.886, 23.9441
107.299798, 71.726, 18.5176
107.666009, 71.571, 12.9255
108.032219, 71.420, 7.1660
108.398430, 71.273, 1.2373
108.764641, 71.132, -4.8611
109.130852, 70.997, -11.1287
109.497063, 70.868, -17.5642
109.863274, 70.745, -24.1660
110.229485, 70.630, -30.9314
110.595696, 70.522, -37.8567
110.961907, 70.421, -44.9380
111.328118, 70.328, -52.1702
111.694328, 70.243, -59.5483
112.060539, 70.167, -67.0659
112.426750, 70.099, -74.7170
112.792961, 70.039, -82.4946
113.159172, 69.988, -90.3909
113.525383, 69.945, -98.3984
113.891594, 69.911, -106.5088
114.257805, 69.885, -114.7141
114.624016, 69.866, -123.0054
114.990227, 69.856, -131.3743
115.356438, 69.853, -139.8120
115.722648, 69.858, -148.3103
116.088859, 69.869, -156.8604
116.455070, 69.887, -165.4539
116.821281, 69.911, -174.0830
117.187492, 69.941, 177.2598
117.553703, 69.976, 168.5823
117.919914, 70.017, 159.8911
118.286125, 70.062, 151.1929
118.652336, 70.111, 142.4937
119.018547, 70.165, 133.7988
119.384758, 70.222, 125.1140
119.750968, 70.283, 116.4434
120.117179, 70.346, 107.7910
120.483390, 70.412, 99.1611
120.849601, 70.481, 90.5569
121.215812, 70.551, 81.9807
121.582023, 70.623, 73.4355
121.948234, 70.697, 64.9236
122.314445, 70.772, 56.4460
122.680656, 70.848, 48.0046
123.046867, 70.925, 39.6006
123.413078, 71.002, 31.2346
123.779288, 71.080, 22.9070
124.145499, 71.159, 14.6179
124.511710, 71.237, 6.3677
124.877921, 71.316, -1.8440
125.244132, 71.394, -10.0181
125.610343, 71.472, -18.1548
125.976554, 71.550, -26.2551
126.342765, 71.627, -34.3206
126.708976, 71.703, -42.3525
127.075187, 71.779, -50.3521
127.441398, 71.855, -58.3215
127.807608, 71.929, -66.2622
128.173819, 72.002, -74.1763
128.540030, 72.074, -82.0662
128.906241, 72.145, -89.9338
129.272452, 72.215, -97.7815
129.638663, 72.283, -105.6113
130.004874, 72.349, -113.4258
130.371085, 72.414, -121.2266
130.737296, 72.477, -129.0164
131.103507, 72.539, -136.7974
131.469718, 72.598, -144.5703
131.835928, 72.654, -152.3381
132.202139, 72.709, -160.1021
132.568350, 72.761, -167.8630
132.934561, 72.810, -175.6226
133.300772, 72.857, 176.6184
133.666983, 72.901, 168.8599
134.033194, 72.942, 161.1011
134.399405, 72.980, 153.3416
134.765616, 73.014, 145.5825
135.131827, 73.046, 137.8240
135.498037, 73.074, 130.0669
135.864248, 73.099, 122.3127
136.230459, 73.120, 114.5625
136.596670, 73.138, 106.8181
136.962881, 73.153, 99.0818
137.329092, 73.164, 91.3560
137.695303, 73.171, 83.6431
138.061514, 73.176, 75.9463
138.427725, 73.177, 68.2678
138.793936, 73.174, 60.6116
139.160147, 73.169, 52.9812
139.526357, 73.160, 45.3794
139.892568, 73.148, 37.8105
140.258779, 73.133, 30.2786
140.624990, 73.116, 22.7866
140.991201, 73.096, 15.3396
141.357412, 73.073, 7.9412
