Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 87.179, -129.5226
31.500000, 98.746, 173.0872
40.000000, 91.211, 145.7172
50.000000, 91.340, -0.6631
63.000000, 88.551, -124.8904
80.000000, 82.643, -120.1296
100.000000, 78.260, -100.1348
125.000000, 71.996, 116.3821
160.000000, 54.406, -33.7422
200.000000, 37.084, 51.5112
250.000000, 30.172, 123.6716
315.000000, 26.064, -107.4814
400.000000, 18.573, -105.7183
500.000000, 8.629, 36.6738
630.000000, 10.729, 165.3345
800.000000, 9.594, -159.3242
1000.000000, 8.100, 135.7920
1250.000000, 8.440, 135.8008
1600.000000, 9.777, -166.4473
2000.000000, 11.717, 177.1602
2500.000000, 12.951, -81.2773
3150.000000, 14.780, -99.5703
4000.000000, 8.648, -160.0156
5000.000000, 6.134, 174.4688
6300.000000, 6.114, 110.0781
8000.000000, 12.066, 98.8438
10000.000000, 6.179, -40.1406
12500.000000, 10.146, 35.0938
16000.000000, 16.537, 41.6250
20000.000000, 17.127, 12.3750
