Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 65.334, -117.8513
20.507812, 65.249, -117.3955
20.874023, 66.430, -124.6667
21.240234, 67.855, -135.7939
21.606445, 69.400, -151.1552
21.972656, 70.995, -171.1157
22.338867, 72.600, 164.0846
22.705078, 74.196, 134.4146
23.071289, 75.769, 100.0931
23.437500, 77.313, 61.5794
23.803711, 78.821, 19.5212
24.169922, 80.290, -25.3229
24.536132, 81.717, -72.1614
24.902343, 83.101, -120.2285
25.268554, 84.438, -168.8153
25.634765, 85.728, 142.7226
26.000976, 86.969, 94.9707
26.367187, 88.159, 48.4659
26.733398, 89.297, 3.7032
27.099609, 90.381, -38.8683
27.465820, 91.407, -78.8664
27.832031, 92.375, -116.0073
28.198242, 93.280, -150.1409
28.564452, 94.120, 178.7272
28.930663, 94.892, 150.4341
29.296874, 95.593, 124.6838
29.663085, 96.218, 101.0896
30.029296, 96.764, 79.2278
30.395507, 97.229, 58.6877
30.761718, 97.610, 39.1082
31.127929, 97.907, 20.1936
31.494140, 98.120, 1.7167
31.860351, 98.250, -16.4928
32.226562, 98.303, -34.5610
32.592772, 98.282, -52.5829
32.958983, 98.192, -70.6294
33.325194, 98.040, -88.7512
33.691405, 97.831, -106.9756
34.057616, 97.569, -125.3005
34.423827, 97.260, -143.6880
34.790038, 96.907, -162.0582
35.156249, 96.513, 179.7119
35.522460, 96.082, 161.7856
35.888671, 95.618, 144.3580
36.254882, 95.125, 127.6415
36.621092, 94.608, 111.8490
36.987303, 94.073, 97.1746
37.353514, 93.527, 83.7753
37.719725, 92.979, 71.7581
38.085936, 92.438, 61.1726
38.452147, 91.917, 52.0120
38.818358, 91.427, 44.2195
39.184569, 90.985, 37.6993
39.550780, 90.603, 32.3278
39.916991, 90.296, 27.9635
40.283201, 90.074, 24.4559
40.649412, 89.943, 21.6521
41.015623, 89.902, 19.4015
41.381834, 89.944, 17.5602
41.748045, 90.060, 15.9932
42.114256, 90.234, 14.5759
42.480467, 90.452, 13.1963
42.846678, 90.698, 11.7540
43.212889, 90.958, 10.1624
43.579100, 91.221, 8.3484
43.945311, 91.476, 6.2527
44.311521, 91.714, 3.8303
44.677732, 91.929, 1.0503
45.043943, 92.116, -2.1060
45.410154, 92.269, -5.6434
45.776365, 92.386, -9.5569
46.142576, 92.465, -13.8330
46.508787, 92.504, -18.4520
46.874998, 92.503, -23.3923
47.241209, 92.464, -28.6331
47.607420, 92.386, -34.1564
47.973631, 92.273, -39.9504
48.339841, 92.127, -46.0106
48.706052, 91.950, -52.3390
49.072263, 91.746, -58.9446
49.438474, 91.517, -65.8422
49.804685, 91.267, -73.0496
50.170896, 90.998, -80.5865
50.537107, 90.714, -88.4731
50.903318, 90.416, -96.7267
51.269529, 90.109, -105.3615
51.635740, 89.795, -114.3871
52.001951, 89.477, -123.8085
52.368161, 89.158, -133.6245
52.734372, 88.841, -143.8289
53.100583, 88.529, -154.4110
53.466794, 88.227, -165.3555
53.833005, 87.939, -176.6432
54.199216, 87.668, 171.7469
54.565427, 87.420, 159.8389
54.931638, 87.197, 147.6571
55.297849, 87.005, 135.2261
55.664060, 86.846, 122.5697
56.030271, 86.721, 109.7092
56.396481, 86.633, 96.6628
56.762692, 86.580, 83.4456
57.128903, 86.562, 70.0687
57.495114, 86.575, 56.5403
57.861325, 86.617, 42.8674
58.227536, 86.682, 29.0569
58.593747, 86.768, 15.1161
58.959958, 86.869, 1.0569
59.326169, 86.981, -13.1053
59.692380, 87.100, -27.3490
60.058591, 87.222, -41.6459
60.424801, 87.346, -55.9607
60.791012, 87.467, -70.2517
61.157223, 87.584, -84.4707
61.523434, 87.695, -98.5649
61.889645, 87.800, -112.4780
62.255856, 87.898, -126.1514
62.622067, 87.987, -139.5278
62.988278, 88.068, -152.5510
63.354489, 88.140, -165.1699
63.720700, 88.205, -177.3379
64.086910, 88.261, 170.9844
64.453121, 88.309, 159.8286
64.819332, 88.350, 149.2195
65.185543, 88.383, 139.1726
