Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 85.162, -109.5025
31.500000, 96.963, 125.5813
40.000000, 92.479, -168.6740
50.000000, 91.936, -165.4729
63.000000, 89.487, -156.0083
80.000000, 84.860, 96.9909
100.000000, 79.914, 164.8423
125.000000, 70.218, 162.6041
160.000000, 53.083, 123.2982
200.000000, 33.775, -78.3824
250.000000, 29.379, 99.5736
315.000000, 23.825, -88.3901
400.000000, 14.308, 100.0352
500.000000, 6.280, -79.6661
630.000000, 9.177, 48.1382
800.000000, 7.722, 49.0771
1000.000000, 5.653, 64.1245
1250.000000, 5.756, 167.9346
1600.000000, 6.899, -18.2910
2000.000000, 8.314, 41.6543
2500.000000, 9.503, -28.2344
3150.000000, 6.389, -171.4219
4000.000000, 5.116, 48.9141
5000.000000, 4.741, -77.5312
6300.000000, 6.016, 110.9219
8000.000000, 11.468, -93.2500
10000.000000, 6.020, -167.4062
12500.000000, 8.915, 65.2812
16000.000000, 15.221, 41.9375
20000.000000, 14.772, -102.0312
