Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 57.787, -19.1088
20.507812, 57.775, -18.9193
20.874023, 57.968, -21.9665
21.240234, 58.240, -26.4086
21.606445, 58.581, -32.1390
21.972656, 58.992, -39.0861
22.338867, 59.485, -47.2324
22.705078, 60.080, -56.6182
23.071289, 60.796, -67.3309
23.437500, 61.646, -79.4794
23.803711, 62.627, -93.1566
24.169922, 63.725, -108.3945
24.536132, 64.914, -125.1191
24.902343, 66.165, -143.1175
25.268554, 67.453, -162.0266
25.634765, 68.753, 178.6447
26.000976, 70.049, 159.4590
26.367187, 71.328, 140.9687
26.733398, 72.581, 123.6310
27.099609, 73.801, 107.7467
27.465820, 74.985, 93.4395
27.832031, 76.130, 80.6751
28.198242, 77.235, 69.3072
28.564452, 78.298, 59.1295
28.930663, 79.318, 49.9166
29.296874, 80.294, 41.4496
29.663085, 81.226, 33.5276
30.029296, 82.111, 25.9726
30.395507, 82.949, 18.6317
30.761718, 83.739, 11.3785
31.127929, 84.477, 4.1117
31.494140, 85.163, -3.2493
31.860351, 85.794, -10.7690
32.226562, 86.367, -18.5009
32.592772, 86.878, -26.4865
32.958983, 87.325, -34.7511
33.325194, 87.704, -43.2968
33.691405, 88.012, -52.0952
34.057616, 88.247, -61.0848
34.423827, 88.407, -70.1738
34.790038, 88.492, -79.2480
35.156249, 88.503, -88.1813
35.522460, 88.444, -96.8474
35.888671, 88.317, -105.1312
36.254882, 88.127, -112.9364
36.621092, 87.880, -120.1910
36.987303, 87.581, -126.8489
37.353514, 87.236, -132.8882
37.719725, 86.851, -138.3081
38.085936, 86.431, -143.1235
38.452147, 85.981, -147.3610
38.818358, 85.506, -151.0540
39.184569, 85.010, -154.2406
39.550780, 84.497, -156.9603
39.916991, 83.972, -159.2520
40.283201, 83.437, -161.1527
40.649412, 82.898, -162.6964
41.015623, 82.358, -163.9133
41.381834, 81.821, -164.8300
41.748045, 81.291, -165.4690
42.114256, 80.774, -165.8499
42.480467, 80.275, -165.9885
42.846678, 79.799, -165.8983
43.212889, 79.354, -165.5901
43.579100, 78.946, -165.0728
43.945311, 78.584, -164.3542
44.311521, 78.275, -163.4412
44.677732, 78.025, -162.3409
45.043943, 77.840, -161.0610
45.410154, 77.725, -159.6105
45.776365, 77.680, -158.0009
46.142576, 77.703, -156.2465
46.508787, 77.791, -154.3660
46.874998, 77.937, -152.3827
47.241209, 78.133, -150.3254
47.607420, 78.369, -148.2288
47.973631, 78.636, -146.1331
48.339841, 78.926, -144.0839
48.706052, 79.230, -142.1306
49.072263, 79.540, -140.3254
49.438474, 79.851, -138.7208
49.804685, 80.157, -137.3672
50.170896, 80.453, -136.3104
50.537107, 80.736, -135.5897
50.903318, 81.003, -135.2354
51.269529, 81.253, -135.2676
51.635740, 81.483, -135.6968
52.001951, 81.693, -136.5233
52.368161, 81.884, -137.7394
52.734372, 82.056, -139.3312
53.100583, 82.211, -141.2811
53.466794, 82.350, -143.5699
53.833005, 82.477, -146.1793
54.199216, 82.593, -149.0941
54.565427, 82.702, -152.3030
54.931638, 82.805, -155.8007
55.297849, 82.906, -159.5875
55.664060, 83.007, -163.6702
56.030271, 83.110, -168.0615
56.396481, 83.215, -172.7801
56.762692, 83.326, -177.8500
57.128903, 83.441, 176.7003
57.495114, 83.561, 170.8386
57.861325, 83.685, 164.5298
58.227536, 83.814, 157.7370
58.593747, 83.945, 150.4222
58.959958, 84.078, 142.5474
59.326169, 84.210, 134.0759
59.692380, 84.341, 124.9730
60.058591, 84.469, 115.2070
60.424801, 84.592, 104.7505
60.791012, 84.709, 93.5811
61.157223, 84.818, 81.6820
61.523434, 84.918, 69.0433
61.889645, 85.009, 55.6620
62.255856, 85.090, 41.5423
62.622067, 85.160, 26.6963
62.988278, 85.219, 11.1427
