Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 85.554, -86.7234
31.500000, 98.874, 0.3368
40.000000, 86.717, -164.6513
50.000000, 81.759, -120.9715
63.000000, 90.664, -48.2660
80.000000, 88.768, 52.7391
100.000000, 82.034, -143.1003
125.000000, 71.904, 67.7476
160.000000, 60.245, -78.8650
200.000000, 43.333, 178.7515
250.000000, 36.375, -46.6196
315.000000, 28.657, 64.6396
400.000000, 18.492, -157.0068
500.000000, 12.638, -41.7051
630.000000, 8.410, -1.1133
800.000000, 8.210, 46.5996
1000.000000, 5.983, 17.9897
1250.000000, 7.246, 157.0234
1600.000000, 8.818, 145.9722
2000.000000, 10.219, -151.4688
2500.000000, 13.047, -131.8672
3150.000000, 9.221, -112.7109
4000.000000, 6.322, 126.6406
5000.000000, 4.455, 87.0234
6300.000000, 5.023, -13.6562
8000.000000, 11.127, -154.0781
10000.000000, 6.000, 21.2500
12500.000000, 11.667, 66.0469
16000.000000, 18.174, 59.8750
20000.000000, 15.706, 164.7812
