Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 74.424, 178.9531
20.507812, 74.378, 178.8927
20.874023, 75.068, 179.8717
21.240234, 75.953, -178.7330
21.606445, 76.952, -176.9941
21.972656, 78.014, -174.9705
22.338867, 79.106, -172.7052
22.705078, 80.213, -170.2299
23.071289, 81.326, -167.5718
23.437500, 82.441, -164.7556
23.803711, 83.555, -161.8015
24.169922, 84.665, -158.7239
24.536132, 85.768, -155.5357
24.902343, 86.860, -152.2546
25.268554, 87.939, -148.9092
25.634765, 88.998, -145.5396
26.000976, 90.033, -142.1948
26.367187, 91.038, -138.9298
26.733398, 92.009, -135.8065
27.099609, 92.940, -132.8961
27.465820, 93.826, -130.2797
27.832031, 94.662, -128.0456
28.198242, 95.442, -126.2817
28.564452, 96.161, -125.0679
28.930663, 96.814, -124.4690
29.296874, 97.395, -124.5278
29.663085, 97.898, -125.2567
30.029296, 98.318, -126.6282
30.395507, 98.651, -128.5670
30.761718, 98.893, -130.9479
31.127929, 99.043, -133.6023
31.494140, 99.100, -136.3315
31.860351, 99.066, -138.9247
32.226562, 98.946, -141.1777
32.592772, 98.744, -142.9091
32.958983, 98.467, -143.9716
33.325194, 98.121, -144.2568
33.691405, 97.715, -143.6952
34.057616, 97.255, -142.2505
34.423827, 96.747, -139.9141
34.790038, 96.196, -136.6997
35.156249, 95.609, -132.6396
35.522460, 94.990, -127.7823
35.888671, 94.342, -122.1899
36.254882, 93.670, -115.9337
36.621092, 92.976, -109.0908
36.987303, 92.265, -101.7385
37.353514, 91.538, -93.9514
37.719725, 90.800, -85.7985
38.085936, 90.051, -77.3414
38.452147, 89.295, -68.6339
38.818358, 88.534, -59.7216
39.184569, 87.771, -50.6428
39.550780, 87.009, -41.4293
39.916991, 86.250, -32.1079
40.283201, 85.497, -22.7009
40.649412, 84.755, -13.2278
41.015623, 84.028, -3.7058
41.381834, 83.321, 5.8492
41.748045, 82.640, 15.4213
42.114256, 81.992, 24.9940
42.480467, 81.387, 34.5494
42.846678, 80.832, 44.0680
43.212889, 80.339, 53.5275
43.579100, 79.916, 62.9029
43.945311, 79.572, 72.1661
44.311521, 79.311, 81.2867
44.677732, 79.138, 90.2312
45.043943, 79.049, 98.9648
