Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 83.090, 62.9158
63.000000, 83.206, 128.2151
80.000000, 76.554, -179.0967
100.000000, 76.639, 48.9240
125.000000, 72.333, -175.7938
160.000000, 82.081, 76.9648
200.000000, 80.531, 50.1616
250.000000, 77.041, 119.8071
315.000000, 83.571, 140.3933
400.000000, 82.259, 11.0061
500.000000, 80.980, -117.8320
630.000000, 80.605, 89.4851
800.000000, 81.575, -63.6948
1000.000000, 79.048, 13.1602
1250.000000, 79.808, 79.8677
1600.000000, 80.773, 112.0825
2000.000000, 80.269, -83.1162
2500.000000, 78.252, 176.4199
3150.000000, 78.572, -141.1338
4000.000000, 77.488, -83.0254
5000.000000, 78.616, 34.7070
6300.000000, 78.604, -171.2373
8000.000000, 77.408, 43.3760
10000.000000, 76.939, -68.2568
12500.000000, 75.795, -132.5898
16000.000000, 74.644, -97.9922
