Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 82.615, 78.3722
63.000000, 84.240, 142.2644
80.000000, 76.976, 85.4363
100.000000, 76.082, 114.0516
125.000000, 76.760, 70.0117
160.000000, 85.513, 97.4355
200.000000, 83.441, 9.7158
250.000000, 82.776, 144.7864
315.000000, 85.435, -167.3271
400.000000, 85.406, 8.8420
500.000000, 82.464, -41.5781
630.000000, 81.896, -7.9858
800.000000, 83.162, 155.8823
1000.000000, 81.533, 177.8018
1250.000000, 82.413, 132.6318
1600.000000, 79.864, -88.9609
2000.000000, 79.211, 6.2051
2500.000000, 79.430, -7.5527
3150.000000, 77.475, 93.3643
4000.000000, 78.369, -152.3086
5000.000000, 79.233, -20.5098
6300.000000, 79.037, -135.8945
8000.000000, 78.131, 14.2520
10000.000000, 77.631, -89.5527
12500.000000, 76.174, -87.3125
16000.000000, 74.651, -28.5625
