Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 89.040, 71.8292
63.000000, 90.129, 135.1160
80.000000, 82.346, 76.4536
100.000000, 82.215, 85.4467
125.000000, 83.326, -146.6538
160.000000, 91.252, 83.3523
200.000000, 87.666, -5.2134
250.000000, 87.664, 153.2090
315.000000, 89.314, 71.2397
400.000000, 88.652, -1.3848
500.000000, 88.755, 55.1284
630.000000, 88.029, -75.3428
800.000000, 87.200, -52.2319
1000.000000, 85.363, -150.6880
1250.000000, 86.304, -101.9106
1600.000000, 84.841, -97.5005
2000.000000, 83.444, -114.7100
2500.000000, 80.019, -108.5400
3150.000000, 78.392, -28.7715
4000.000000, 77.695, -135.4912
5000.000000, 79.145, -5.5312
6300.000000, 82.236, -23.5703
8000.000000, 82.932, -168.6602
10000.000000, 81.447, -161.8438
12500.000000, 77.284, -23.4141
16000.000000, 78.845, 13.9805
