Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 82.728, 77.2594
63.000000, 84.089, 144.5002
80.000000, 76.480, 87.1454
100.000000, 76.763, 117.3464
125.000000, 77.417, 65.2817
160.000000, 85.125, 89.3608
200.000000, 81.728, -0.7441
250.000000, 82.186, 150.4573
315.000000, 83.981, 174.5498
400.000000, 83.922, 9.2556
500.000000, 83.287, -57.0227
630.000000, 82.114, 73.0645
800.000000, 82.747, 143.9365
1000.000000, 81.084, -122.6416
1250.000000, 82.347, -109.7153
1600.000000, 80.872, 155.8545
2000.000000, 80.169, -137.5508
2500.000000, 78.280, -156.8975
3150.000000, 77.911, 93.1562
4000.000000, 77.576, -118.6748
5000.000000, 78.567, 67.0254
6300.000000, 79.349, 140.9590
8000.000000, 78.165, 175.5664
10000.000000, 77.440, 177.6133
12500.000000, 75.787, -61.6875
16000.000000, 74.331, 62.9004
