Freq(Hz), SPL(dB), Phase(degrees)
50.000000, 83.079, -109.8007
63.000000, 83.739, -40.0652
80.000000, 77.366, 5.4386
100.000000, 78.434, -120.3114
125.000000, 76.750, 39.7906
160.000000, 86.564, -90.6654
200.000000, 81.860, -81.8425
250.000000, 79.886, -25.0012
315.000000, 81.557, -100.4929
400.000000, 82.250, -160.8315
500.000000, 83.199, 76.4539
630.000000, 82.175, 120.5767
800.000000, 83.278, 140.1025
1000.000000, 81.256, 156.8926
1250.000000, 81.536, 117.9443
1600.000000, 81.570, -132.8564
2000.000000, 80.162, -61.7383
2500.000000, 78.828, 53.0742
3150.000000, 79.030, 69.4082
4000.000000, 78.293, 93.8838
5000.000000, 79.162, -133.9492
6300.000000, 79.453, -22.3555
8000.000000, 78.781, -168.7637
10000.000000, 77.891, 121.6523
12500.000000, 76.609, -108.2734
16000.000000, 75.360, 87.1230
