Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 64.997, -122.7064
20.507812, 64.909, -122.1162
20.874023, 66.127, -131.5422
21.240234, 67.587, -145.7075
21.606445, 69.161, -164.7105
21.972656, 70.778, 171.4778
22.338867, 72.401, 143.1197
22.705078, 74.009, 110.7634
23.071289, 75.589, 75.2341
23.437500, 77.134, 37.5701
23.803711, 78.639, -1.0792
24.169922, 80.099, -39.5605
24.536132, 81.514, -76.8088
24.902343, 82.880, -111.9143
25.268554, 84.197, -144.1711
25.634765, 85.462, -173.1110
26.000976, 86.675, 161.4780
26.367187, 87.832, 139.5552
26.733398, 88.933, 120.8582
27.099609, 89.975, 104.9581
27.465820, 90.956, 91.3299
27.832031, 91.873, 79.4197
28.198242, 92.722, 68.6950
28.564452, 93.502, 58.6718
28.930663, 94.207, 48.9264
29.296874, 94.836, 39.1025
29.663085, 95.383, 28.9163
30.029296, 95.847, 18.1609
30.395507, 96.226, 6.7051
30.761718, 96.517, -5.5155
31.127929, 96.723, -18.5136
31.494140, 96.844, -32.2668
31.860351, 96.884, -46.7345
32.226562, 96.847, -61.8683
32.592772, 96.738, -77.6185
32.958983, 96.562, -93.9331
33.325194, 96.325, -110.7527
33.691405, 96.031, -128.0020
34.057616, 95.686, -145.5806
34.423827, 95.294, -163.3560
34.790038, 94.859, 178.8407
35.156249, 94.386, 161.2117
35.522460, 93.880, 143.9847
35.888671, 93.345, 127.3997
36.254882, 92.788, 111.6887
36.621092, 92.215, 97.0574
36.987303, 91.633, 83.6667
37.353514, 91.051, 71.6218
37.719725, 90.478, 60.9675
38.085936, 89.925, 51.6915
38.452147, 89.404, 43.7338
38.818358, 88.926, 36.9968
39.184569, 88.504, 31.3578
39.550780, 88.148, 26.6783
39.916991, 87.866, 22.8137
40.283201, 87.662, 19.6185
40.649412, 87.535, 16.9532
41.015623, 87.479, 14.6873
41.381834, 87.486, 12.7015
41.748045, 87.542, 10.8909
42.114256, 87.636, 9.1650
42.480467, 87.754, 7.4490
42.846678, 87.884, 5.6833
43.212889, 88.015, 3.8250
43.579100, 88.139, 1.8452
43.945311, 88.247, -0.2690
44.311521, 88.334, -2.5183
44.677732, 88.395, -4.8909
45.043943, 88.427, -7.3655
45.410154, 88.427, -9.9131
45.776365, 88.395, -12.5000
46.142576, 88.330, -15.0896
46.508787, 88.233, -17.6447
46.874998, 88.105, -20.1294
47.241209, 87.949, -22.5098
47.607420, 87.765, -24.7551
47.973631, 87.557, -26.8374
48.339841, 87.326, -28.7313
48.706052, 87.075, -30.4137
49.072263, 86.806, -31.8634
49.438474, 86.522, -33.0604
49.804685, 86.224, -33.9862
50.170896, 85.916, -34.6239
50.537107, 85.600, -34.9585
50.903318, 85.277, -34.9779
51.269529, 84.952, -34.6741
51.635740, 84.627, -34.0442
52.001951, 84.305, -33.0916
52.368161, 83.991, -31.8263
52.734372, 83.689, -30.2664
53.100583, 83.403, -28.4368
53.466794, 83.139, -26.3694
53.833005, 82.901, -24.1017
54.199216, 82.694, -21.6749
54.565427, 82.521, -19.1327
54.931638, 82.387, -16.5189
55.297849, 82.292, -13.8757
55.664060, 82.239, -11.2423
56.030271, 82.225, -8.6538
56.396481, 82.250, -6.1399
56.762692, 82.310, -3.7250
57.128903, 82.402, -1.4280
57.495114, 82.520, 0.7378
57.861325, 82.660, 2.7638
58.227536, 82.818, 4.6456
58.593747, 82.989, 6.3827
58.959958, 83.168, 7.9773
59.326169, 83.353, 9.4338
59.692380, 83.539, 10.7585
60.058591, 83.724, 11.9586
60.424801, 83.906, 13.0421
60.791012, 84.083, 14.0178
61.157223, 84.252, 14.8948
61.523434, 84.412, 15.6827
61.889645, 84.563, 16.3912
62.255856, 84.703, 17.0304
62.622067, 84.832, 17.6101
62.988278, 84.949, 18.1400
63.354489, 85.053, 18.6299
63.720700, 85.146, 19.0886
64.086910, 85.227, 19.5245
64.453121, 85.296, 19.9453
64.819332, 85.353, 20.3573
65.185543, 85.398, 20.7661
65.551754, 85.433, 21.1764
65.917965, 85.456, 21.5914
66.284176, 85.469, 22.0135
66.650387, 85.472, 22.4441
67.016598, 85.465, 22.8833
67.382809, 85.449, 23.3304
67.749020, 85.423, 23.7842
68.115230, 85.388, 24.2423
68.481441, 85.345, 24.7018
68.847652, 85.292, 25.1593
69.213863, 85.232, 25.6107
69.580074, 85.163, 26.0520
69.946285, 85.086, 26.4784
70.312496, 85.001, 26.8849
70.678707, 84.908, 27.2665
71.044918, 84.808, 27.6179
71.411129, 84.699, 27.9336
71.777340, 84.583, 28.2079
72.143550, 84.460, 28.4353
72.509761, 84.329, 28.6101
72.875972, 84.191, 28.7263
73.242183, 84.046, 28.7784
73.608394, 83.894, 28.7605
73.974605, 83.736, 28.6671
74.340816, 83.572, 28.4929
74.707027, 83.402, 28.2327
75.073238, 83.227, 27.8818
75.439449, 83.046, 27.4359
75.805660, 82.861, 26.8912
76.171870, 82.672, 26.2450
76.538081, 82.479, 25.4946
76.904292, 82.284, 24.6392
77.270503, 82.085, 23.6780
77.636714, 81.886, 22.6121
78.002925, 81.685, 21.4434
78.369136, 81.484, 20.1752
78.735347, 81.284, 18.8120
79.101558, 81.085, 17.3599
79.467769, 80.888, 15.8258
79.833980, 80.695, 14.2186
80.200190, 80.505, 12.5480
80.566401, 80.321, 10.8248
80.932612, 80.143, 9.0609
81.298823, 79.971, 7.2690
81.665034, 79.807, 5.4628
82.031245, 79.652, 3.6558
82.397456, 79.505, 1.8622
82.763667, 79.368, 0.0962
83.129878, 79.241, -1.6284
83.496089, 79.124, -3.2980
83.862300, 79.017, -4.8998
84.228510, 78.921, -6.4215
84.594721, 78.834, -7.8519
84.960932, 78.757, -9.1807
85.327143, 78.690, -10.3986
85.693354, 78.631, -11.4971
86.059565, 78.579, -12.4694
86.425776, 78.535, -13.3090
86.791987, 78.497, -14.0107
87.158198, 78.464, -14.5706
87.524409, 78.436, -14.9849
87.890619, 78.411, -15.2510
88.256830, 78.388, -15.3673
88.623041, 78.368, -15.3323
88.989252, 78.348, -15.1454
89.355463, 78.328, -14.8064
89.721674, 78.308, -14.3158
90.087885, 78.286, -13.6743
90.454096, 78.263, -12.8829
90.820307, 78.238, -11.9431
91.186518, 78.210, -10.8567
91.552729, 78.179, -9.6256
91.918939, 78.146, -8.2523
92.285150, 78.108, -6.7391
92.651361, 78.068, -5.0889
93.017572, 78.024, -3.3043
93.383783, 77.976, -1.3889
93.749994, 77.925, 0.6544
94.116205, 77.870, 2.8223
94.482416, 77.812, 5.1110
94.848627, 77.750, 7.5171
95.214838, 77.685, 10.0369
95.581049, 77.617, 12.6669
95.947259, 77.546, 15.4033
96.313470, 77.472, 18.2426
96.679681, 77.396, 21.1812
97.045892, 77.316, 24.2156
97.412103, 77.234, 27.3425
97.778314, 77.150, 30.5588
98.144525, 77.063, 33.8615
98.510736, 76.974, 37.2477
98.876947, 76.882, 40.7147
99.243158, 76.788, 44.2603
99.609369, 76.692, 47.8821
99.975579, 76.593, 51.5784
100.341790, 76.493, 55.3473
100.708001, 76.390, 59.1873
101.074212, 76.284, 63.0970
101.440423, 76.177, 67.0754
101.806634, 76.066, 71.1213
102.172845, 75.954, 75.2339
102.539056, 75.839, 79.4121
102.905267, 75.721, 83.6553
103.271478, 75.601, 87.9624
103.637689, 75.479, 92.3328
104.003899, 75.354, 96.7651
104.370110, 75.226, 101.2585
104.736321, 75.096, 105.8120
105.102532, 74.964, 110.4236
105.468743, 74.829, 115.0920
105.834954, 74.693, 119.8154
106.201165, 74.554, 124.5916
106.567376, 74.413, 129.4182
106.933587, 74.270, 134.2930
107.299798, 74.126, 139.2129
107.666009, 73.981, 144.1750
108.032219, 73.834, 149.1765
108.398430, 73.685, 154.2137
108.764641, 73.536, 159.2834
109.130852, 73.386, 164.3823
109.497063, 73.236, 169.5068
109.863274, 73.085, 174.6532
110.229485, 72.934, 179.8182
110.595696, 72.783, -175.0015
110.961907, 72.632, -169.8093
111.328118, 72.482, -164.6084
111.694328, 72.332, -159.4016
112.060539, 72.182, -154.1919
112.426750, 72.033, -148.9814
112.792961, 71.885, -143.7729
113.159172, 71.738, -138.5681
113.525383, 71.592, -133.3688
113.891594, 71.447, -128.1765
114.257805, 71.303, -122.9925
114.624016, 71.159, -117.8177
114.990227, 71.017, -112.6528
115.356438, 70.876, -107.4982
115.722648, 70.736, -102.3542
116.088859, 70.597, -97.2208
116.455070, 70.459, -92.0978
116.821281, 70.322, -86.9849
117.187492, 70.185, -81.8813
117.553703, 70.049, -76.7867
117.919914, 69.914, -71.7000
118.286125, 69.780, -66.6205
118.652336, 69.645, -61.5472
119.018547, 69.512, -56.4792
119.384758, 69.378, -51.4153
119.750968, 69.245, -46.3546
120.117179, 69.112, -41.2959
120.483390, 68.979, -36.2382
120.849601, 68.845, -31.1806
121.215812, 68.712, -26.1220
121.582023, 68.579, -21.0615
121.948234, 68.445, -15.9983
122.314445, 68.312, -10.9315
122.680656, 68.178, -5.8604
123.046867, 68.043, -0.7844
123.413078, 67.909, 4.2972
123.779288, 67.774, 9.3848
124.145499, 67.639, 14.4791
