Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 83.332, -118.5048
31.500000, 93.652, -167.5140
40.000000, 87.214, 162.7371
50.000000, 82.870, -173.5923
63.000000, 83.498, -172.7843
80.000000, 74.167, 93.3011
100.000000, 68.537, -70.8158
125.000000, 66.531, 128.8130
160.000000, 53.363, -171.5930
200.000000, 37.368, -45.3834
250.000000, 28.783, -31.4448
315.000000, 25.370, 145.7990
400.000000, 17.564, 81.9834
500.000000, 8.223, 136.6838
630.000000, 8.526, -103.3916
800.000000, 8.480, 130.5283
1000.000000, 9.471, 169.5020
1250.000000, 9.078, 66.8027
1600.000000, 9.300, -23.9258
2000.000000, 10.211, -122.6445
2500.000000, 9.726, -133.9414
3150.000000, 7.397, 168.8906
4000.000000, 6.120, -119.1406
5000.000000, 5.446, 93.6875
6300.000000, 6.298, 154.8750
8000.000000, 11.783, 13.9688
10000.000000, 6.976, -92.3125
12500.000000, 10.118, -38.3438
16000.000000, 15.723, -113.3750
20000.000000, 19.399, 113.1250
