Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 73.284, 174.1754
20.507812, 73.232, 174.3004
20.874023, 73.993, 172.2775
21.240234, 74.949, 169.3536
21.606445, 76.004, 165.6507
21.972656, 77.095, 161.3032
22.338867, 78.192, 156.4520
22.705078, 79.278, 151.2347
23.071289, 80.347, 145.7742
23.437500, 81.396, 140.1683
23.803711, 82.424, 134.4857
24.169922, 83.431, 128.7684
24.536132, 84.416, 123.0395
24.902343, 85.379, 117.3098
25.268554, 86.318, 111.5818
25.634765, 87.232, 105.8477
26.000976, 88.119, 100.0870
26.367187, 88.976, 94.2645
26.733398, 89.797, 88.3333
27.099609, 90.579, 82.2399
27.465820, 91.318, 75.9306
27.832031, 92.008, 69.3562
28.198242, 92.644, 62.4752
28.564452, 93.221, 55.2568
28.930663, 93.735, 47.6864
29.296874, 94.179, 39.7717
29.663085, 94.548, 31.5504
30.029296, 94.841, 23.0938
30.395507, 95.053, 14.5046
30.761718, 95.186, 5.9091
31.127929, 95.240, -2.5574
31.494140, 95.221, -10.7645
31.860351, 95.134, -18.6025
32.226562, 94.987, -25.9913
32.592772, 94.787, -32.8838
32.958983, 94.542, -39.2607
33.325194, 94.260, -45.1194
33.691405, 93.945, -50.4601
34.057616, 93.600, -55.2733
34.423827, 93.229, -59.5337
34.790038, 92.831, -63.2008
35.156249, 92.410, -66.2245
35.522460, 91.965, -68.5541
35.888671, 91.499, -70.1476
36.254882, 91.017, -70.9792
36.621092, 90.523, -71.0448
36.987303, 90.023, -70.3644
37.353514, 89.528, -68.9832
37.719725, 89.046, -66.9708
38.085936, 88.592, -64.4192
38.452147, 88.177, -61.4387
38.818358, 87.817, -58.1541
39.184569, 87.523, -54.6978
39.550780, 87.308, -51.2039
39.916991, 87.175, -47.8018
40.283201, 87.126, -44.6104
40.649412, 87.154, -41.7335
41.015623, 87.250, -39.2570
41.381834, 87.398, -37.2464
41.748045, 87.585, -35.7468
42.114256, 87.795, -34.7826
42.480467, 88.015, -34.3591
42.846678, 88.233, -34.4634
43.212889, 88.439, -35.0663
43.579100, 88.626, -36.1240
43.945311, 88.785, -37.5802
44.311521, 88.914, -39.3683
44.677732, 89.007, -41.4143
45.043943, 89.064, -43.6389
45.410154, 89.082, -45.9609
45.776365, 89.060, -48.3008
46.142576, 89.001, -50.5826
46.508787, 88.904, -52.7374
46.874998, 88.772, -54.7053
47.241209, 88.607, -56.4362
47.607420, 88.412, -57.8915
47.973631, 88.190, -59.0433
48.339841, 87.944, -59.8749
48.706052, 87.677, -60.3785
49.072263, 87.394, -60.5551
49.438474, 87.097, -60.4121
49.804685, 86.790, -59.9622
50.170896, 86.479, -59.2218
50.537107, 86.166, -58.2094
50.903318, 85.856, -56.9449
51.269529, 85.553, -55.4493
51.635740, 85.262, -53.7438
52.001951, 84.987, -51.8507
52.368161, 84.733, -49.7936
52.734372, 84.506, -47.5973
53.100583, 84.307, -45.2891
53.466794, 84.142, -42.8981
53.833005, 84.012, -40.4556
54.199216, 83.920, -37.9941
54.565427, 83.864, -35.5471
54.931638, 83.845, -33.1478
55.297849, 83.860, -30.8281
55.664060, 83.906, -28.6180
56.030271, 83.979, -26.5439
56.396481, 84.073, -24.6285
56.762692, 84.186, -22.8899
57.128903, 84.311, -21.3416
57.495114, 84.445, -19.9919
57.861325, 84.584, -18.8450
58.227536, 84.723, -17.9001
58.593747, 84.861, -17.1528
58.959958, 84.993, -16.5950
59.326169, 85.119, -16.2157
59.692380, 85.235, -16.0018
60.058591, 85.342, -15.9381
60.424801, 85.437, -16.0083
60.791012, 85.520, -16.1953
61.157223, 85.591, -16.4815
61.523434, 85.649, -16.8496
61.889645, 85.695, -17.2826
62.255856, 85.728, -17.7644
62.622067, 85.749, -18.2800
62.988278, 85.759, -18.8161
63.354489, 85.759, -19.3606
63.720700, 85.748, -19.9033
64.086910, 85.729, -20.4359
64.453121, 85.702, -20.9516
64.819332, 85.667, -21.4453
65.185543, 85.627, -21.9135
65.551754, 85.581, -22.3536
65.917965, 85.530, -22.7644
66.284176, 85.475, -23.1452
66.650387, 85.416, -23.4958
67.016598, 85.354, -23.8167
67.382809, 85.288, -24.1080
67.749020, 85.220, -24.3703
68.115230, 85.149, -24.6038
68.481441, 85.076, -24.8083
68.847652, 84.999, -24.9837
69.213863, 84.920, -25.1292
69.580074, 84.838, -25.2437
69.946285, 84.752, -25.3256
70.312496, 84.663, -25.3730
70.678707, 84.570, -25.3840
71.044918, 84.473, -25.3561
71.411129, 84.373, -25.2867
71.777340, 84.268, -25.1733
72.143550, 84.160, -25.0134
72.509761, 84.047, -24.8047
72.875972, 83.930, -24.5450
73.242183, 83.810, -24.2325
73.608394, 83.685, -23.8660
73.974605, 83.558, -23.4442
74.340816, 83.427, -22.9669
74.707027, 83.293, -22.4340
75.073238, 83.157, -21.8461
75.439449, 83.019, -21.2039
75.805660, 82.879, -20.5090
76.171870, 82.739, -19.7633
76.538081, 82.597, -18.9689
76.904292, 82.455, -18.1285
77.270503, 82.314, -17.2448
77.636714, 82.173, -16.3207
78.002925, 82.034, -15.3596
78.369136, 81.896, -14.3646
78.735347, 81.761, -13.3391
79.101558, 81.628, -12.2863
79.467769, 81.498, -11.2094
79.833980, 81.371, -10.1115
80.200190, 81.247, -8.9957
80.566401, 81.128, -7.8650
80.932612, 81.013, -6.7220
81.298823, 80.902, -5.5696
81.665034, 80.795, -4.4100
82.031245, 80.694, -3.2459
82.397456, 80.597, -2.0795
82.763667, 80.505, -0.9128
83.129878, 80.418, 0.2518
83.496089, 80.336, 1.4124
