Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 86.471, -49.4649
31.500000, 97.523, -11.1280
40.000000, 84.107, 143.8003
50.000000, 79.267, 16.2752
63.000000, 84.789, 41.0664
80.000000, 81.689, 151.5323
100.000000, 72.627, 46.0582
125.000000, 61.580, -14.2511
160.000000, 47.675, -138.3022
200.000000, 34.256, 60.5515
250.000000, 29.816, -125.2271
315.000000, 26.758, -85.7598
400.000000, 18.111, 159.5898
500.000000, 7.874, -16.1841
630.000000, 5.688, -46.5999
800.000000, 6.776, 58.7480
1000.000000, 5.419, 66.4834
1250.000000, 6.115, 135.4014
1600.000000, 6.416, -29.1289
2000.000000, 7.503, -80.0234
2500.000000, 9.359, -131.6055
3150.000000, 7.128, -93.8711
4000.000000, 5.398, 37.5781
5000.000000, 4.302, 33.5234
6300.000000, 4.775, -9.9062
8000.000000, 10.771, 89.2500
10000.000000, 5.794, -168.2500
12500.000000, 9.696, -2.4219
16000.000000, 16.210, 54.3750
20000.000000, 15.405, -7.0312
