Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 87.278, -4.4963
31.500000, 98.231, -28.7787
40.000000, 93.131, -16.7051
50.000000, 90.423, 34.9935
63.000000, 85.229, 37.1808
80.000000, 78.386, -7.2489
100.000000, 72.157, 94.3993
125.000000, 61.846, -118.2051
160.000000, 46.130, -58.9498
200.000000, 32.943, -9.6188
250.000000, 22.764, 136.2198
315.000000, 21.412, -120.2100
400.000000, 14.122, 149.6733
500.000000, 5.534, -160.9382
630.000000, 3.104, -15.9686
800.000000, 4.706, -161.8174
1000.000000, 3.841, -12.7246
1250.000000, 3.225, 128.6016
1600.000000, 3.978, 148.4199
2000.000000, 5.617, 30.9648
2500.000000, 10.008, 166.0820
3150.000000, 5.889, -48.1133
4000.000000, 4.244, 177.4688
5000.000000, 3.116, 87.6719
6300.000000, 4.160, -158.0000
8000.000000, 10.586, 149.3750
10000.000000, 4.690, -178.4688
12500.000000, 8.108, -127.7656
16000.000000, 15.805, 79.8438
20000.000000, 16.152, 130.7500
