Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 79.242, -37.0162
31.500000, 91.448, -32.2276
40.000000, 87.444, -47.7303
50.000000, 80.021, 37.6434
63.000000, 88.639, 29.8206
80.000000, 82.238, 6.3369
100.000000, 74.139, 84.8998
125.000000, 62.887, -124.7226
160.000000, 44.324, -47.1493
200.000000, 29.029, 97.2954
250.000000, 31.422, 65.4844
315.000000, 25.106, 50.6555
400.000000, 13.682, 88.6797
500.000000, 7.282, -66.9521
630.000000, 4.719, -134.5005
800.000000, 6.153, -156.6948
1000.000000, 5.904, 167.2241
1250.000000, 5.874, 86.0918
1600.000000, 6.918, 80.9395
2000.000000, 7.291, 52.5918
2500.000000, 8.794, -108.6055
3150.000000, 6.210, -27.3906
4000.000000, 5.163, -152.6328
5000.000000, 3.713, 145.2969
6300.000000, 4.357, 173.9688
8000.000000, 10.760, 129.0312
10000.000000, 4.827, -43.7031
12500.000000, 8.288, -82.0469
16000.000000, 14.346, 38.5625
20000.000000, 15.333, -10.3750
