Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 79.308, 32.0906
31.500000, 94.041, 40.2206
40.000000, 85.907, -160.0001
50.000000, 83.604, 59.4013
63.000000, 78.946, 17.0574
80.000000, 73.150, -125.0989
100.000000, 72.739, -100.5057
125.000000, 66.776, 106.0376
160.000000, 55.444, -17.1958
200.000000, 39.146, -73.6724
250.000000, 36.312, 18.8594
315.000000, 25.007, -36.2471
400.000000, 13.943, -13.3174
500.000000, 11.291, -110.0488
630.000000, 15.723, -175.3394
800.000000, 25.183, 153.2169
1000.000000, 18.757, 79.3794
1250.000000, 17.846, 121.9395
1600.000000, 18.965, -84.1816
2000.000000, 22.654, -80.0098
2500.000000, 23.352, 160.3320
3150.000000, 21.724, -162.3203
4000.000000, 15.742, 38.2969
5000.000000, 13.180, 57.1641
6300.000000, 11.058, 144.3906
8000.000000, 12.598, 43.8906
10000.000000, 7.158, 15.7500
12500.000000, 10.813, -110.5312
16000.000000, 16.500, 100.6875
20000.000000, 18.868, 142.3750
