Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 72.596, 44.8183
31.500000, 90.639, -10.3859
40.000000, 87.749, -169.9353
50.000000, 78.873, -167.2499
63.000000, 81.017, 43.6079
80.000000, 76.944, 168.8800
100.000000, 73.387, 171.8350
125.000000, 67.967, 164.5466
160.000000, 52.566, -147.4639
200.000000, 33.546, -162.9382
250.000000, 33.654, 12.1700
315.000000, 28.047, 148.9966
400.000000, 19.411, 58.7010
500.000000, 10.160, 55.3456
630.000000, 6.306, -170.4902
800.000000, 7.954, -174.9692
1000.000000, 8.675, 177.7896
1250.000000, 7.555, -3.6138
1600.000000, 8.328, 98.2305
2000.000000, 8.361, -81.4492
2500.000000, 9.374, 68.4688
3150.000000, 7.426, -56.1797
4000.000000, 5.729, -98.4844
5000.000000, 3.669, 26.1016
6300.000000, 4.402, -123.7969
8000.000000, 11.260, 128.5312
10000.000000, 5.854, -2.7344
12500.000000, 9.062, -22.9062
16000.000000, 15.360, -63.7500
20000.000000, 14.703, -126.9062
