Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 67.042, -61.3429
20.507812, 67.006, -61.5705
20.874023, 67.560, -57.8909
21.240234, 68.288, -52.6048
21.606445, 69.130, -45.9624
21.972656, 70.042, -38.2139
22.338867, 70.997, -29.5867
22.705078, 71.980, -20.2721
23.071289, 72.987, -10.4225
23.437500, 74.012, -0.1564
23.803711, 75.053, 10.4319
24.169922, 76.109, 21.2643
24.536132, 77.175, 32.2728
24.902343, 78.245, 43.3961
25.268554, 79.315, 54.5748
25.634765, 80.378, 65.7458
26.000976, 81.427, 76.8388
26.367187, 82.455, 87.7743
26.733398, 83.456, 98.4643
27.099609, 84.424, 108.8137
27.465820, 85.353, 118.7198
27.832031, 86.238, 128.0744
28.198242, 87.073, 136.7677
28.564452, 87.854, 144.6950
28.930663, 88.575, 151.7649
29.296874, 89.233, 157.9068
29.663085, 89.824, 163.0794
30.029296, 90.344, 167.2786
30.395507, 90.791, 170.5438
30.761718, 91.165, 172.9598
31.127929, 91.465, 174.6526
31.494140, 91.694, 175.7796
31.860351, 91.855, 176.5163
32.226562, 91.953, 177.0433
32.592772, 91.991, 177.5365
32.958983, 91.974, 178.1611
33.325194, 91.905, 179.0696
33.691405, 91.787, -179.5984
34.057616, 91.620, -177.7150
34.423827, 91.407, -175.1661
34.790038, 91.148, -171.8535
35.156249, 90.844, -167.6996
35.522460, 90.500, -162.6511
35.888671, 90.118, -156.6813
36.254882, 89.702, -149.7911
36.621092, 89.257, -142.0063
36.987303, 88.789, -133.3747
37.353514, 88.304, -123.9609
37.719725, 87.809, -113.8427
38.085936, 87.311, -103.1059
38.452147, 86.818, -91.8416
38.818358, 86.338, -80.1422
39.184569, 85.880, -68.0995
39.550780, 85.453, -55.8026
39.916991, 85.064, -43.3368
40.283201, 84.721, -30.7823
40.649412, 84.429, -18.2136
41.015623, 84.191, -5.6986
41.381834, 84.007, 6.7016
41.748045, 83.874, 18.9337
42.114256, 83.786, 30.9525
42.480467, 83.735, 42.7214
42.846678, 83.714, 54.2132
43.212889, 83.712, 65.4098
43.579100, 83.720, 76.3028
43.945311, 83.731, 86.8929
44.311521, 83.737, 97.1897
44.677732, 83.731, 107.2102
45.043943, 83.710, 116.9772
45.410154, 83.670, 126.5181
45.776365, 83.609, 135.8627
46.142576, 83.525, 145.0413
46.508787, 83.420, 154.0827
46.874998, 83.293, 163.0140
47.241209, 83.147, 171.8590
47.607420, 82.984, -179.3614
47.973631, 82.804, -170.6288
48.339841, 82.612, -161.9268
48.706052, 82.408, -153.2393
49.072263, 82.196, -144.5501
49.438474, 81.975, -135.8417
49.804685, 81.749, -127.0942
50.170896, 81.518, -118.2854
50.537107, 81.282, -109.3900
50.903318, 81.043, -100.3807
51.269529, 80.801, -91.2283
51.635740, 80.556, -81.9027
52.001951, 80.308, -72.3745
52.368161, 80.058, -62.6157
52.734372, 79.807, -52.6006
53.100583, 79.555, -42.3079
53.466794, 79.303, -31.7195
53.833005, 79.053, -20.8221
54.199216, 78.806, -9.6071
54.565427, 78.563, 1.9302
54.931638, 78.327, 13.7903
55.297849, 78.098, 25.9702
55.664060, 77.879, 38.4643
56.030271, 77.671, 51.2643
56.396481, 77.476, 64.3600
56.762692, 77.296, 77.7398
57.128903, 77.131, 91.3906
57.495114, 76.984, 105.2987
57.861325, 76.854, 119.4490
58.227536, 76.744, 133.8259
58.593747, 76.653, 148.4132
58.959958, 76.581, 163.1934
59.326169, 76.530, 178.1488
59.692380, 76.498, -166.7388
60.058591, 76.484, -151.4883
60.424801, 76.489, -136.1183
60.791012, 76.510, -120.6469
61.157223, 76.547, -105.0918
61.523434, 76.598, -89.4697
61.889645, 76.661, -73.7961
62.255856, 76.735, -58.0852
62.622067, 76.817, -42.3502
62.988278, 76.906, -26.6028
63.354489, 77.001, -10.8533
63.720700, 77.098, 4.8890
64.086910, 77.197, 20.6167
64.453121, 77.296, 36.3230
64.819332, 77.393, 52.0033
65.185543, 77.486, 67.6545
65.551754, 77.575, 83.2754
65.917965, 77.658, 98.8665
66.284176, 77.733, 114.4299
66.650387, 77.799, 129.9701
67.016598, 77.855, 145.4930
67.382809, 77.901, 161.0062
67.749020, 77.935, 176.5190
68.115230, 77.957, -167.9584
68.481441, 77.967, -152.4143
68.847652, 77.963, -136.8373
69.213863, 77.946, -121.2145
69.580074, 77.916, -105.5330
69.946285, 77.872, -89.7805
70.312496, 77.815, -73.9447
70.678707, 77.745, -58.0143
71.044918, 77.662, -41.9786
71.411129, 77.567, -25.8284
71.777340, 77.461, -9.5555
72.143550, 77.343, 6.8463
72.509761, 77.216, 23.3820
72.875972, 77.079, 40.0543
73.242183, 76.934, 56.8646
73.608394, 76.781, 73.8121
73.974605, 76.623, 90.8945
74.340816, 76.460, 108.1074
74.707027, 76.292, 125.4449
75.073238, 76.123, 142.8997
75.439449, 75.952, 160.4630
75.805660, 75.782, 178.1246
76.171870, 75.614, -164.1265
76.538081, 75.448, -146.3020
76.904292, 75.288, -128.4149
77.270503, 75.134, -110.4784
77.636714, 74.987, -92.5051
78.002925, 74.849, -74.5094
78.369136, 74.721, -56.5042
78.735347, 74.605, -38.5029
79.101558, 74.500, -20.5187
79.467769, 74.408, -2.5637
79.833980, 74.329, 15.3497
80.200190, 74.264, 33.2103
80.566401, 74.213, 51.0071
80.932612, 74.174, 68.7300
81.298823, 74.150, 86.3689
81.665034, 74.137, 103.9155
82.031245, 74.136, 121.3613
82.397456, 74.147, 138.6987
82.763667, 74.167, 155.9204
83.129878, 74.195, 173.0200
83.496089, 74.232, -170.0078
83.862300, 74.274, -153.1689
84.228510, 74.322, -136.4673
84.594721, 74.374, -119.9077
84.960932, 74.428, -103.4932
85.327143, 74.485, -87.2271
85.693354, 74.542, -71.1116
86.059565, 74.598, -55.1487
86.425776, 74.654, -39.3398
86.791987, 74.707, -23.6858
87.158198, 74.758, -8.1873
87.524409, 74.806, 7.1558
87.890619, 74.849, 22.3435
88.256830, 74.888, 37.3762
88.623041, 74.922, 52.2551
88.989252, 74.951, 66.9810
89.355463, 74.975, 81.5552
89.721674, 74.993, 95.9792
90.087885, 75.004, 110.2549
90.454096, 75.009, 124.3840
90.820307, 75.008, 138.3684
91.186518, 75.001, 152.2107
91.552729, 74.987, 165.9131
91.918939, 74.966, 179.4783
92.285150, 74.939, -167.0908
92.651361, 74.905, -153.7913
93.017572, 74.864, -140.6196
93.383783, 74.817, -127.5728
93.749994, 74.764, -114.6465
94.116205, 74.704, -101.8369
94.482416, 74.638, -89.1399
94.848627, 74.566, -76.5505
95.214838, 74.488, -64.0645
95.581049, 74.404, -51.6763
95.947259, 74.315, -39.3804
96.313470, 74.221, -27.1714
96.679681, 74.123, -15.0430
97.045892, 74.019, -2.9888
97.412103, 73.912, 8.9980
97.778314, 73.800, 20.9243
98.144525, 73.685, 32.7976
98.510736, 73.567, 44.6255
98.876947, 73.445, 56.4163
99.243158, 73.321, 68.1780
99.609369, 73.195, 79.9194
99.975579, 73.067, 91.6494
100.341790, 72.937, 103.3767
100.708001, 72.806, 115.1106
101.074212, 72.674, 126.8604
101.440423, 72.541, 138.6350
101.806634, 72.407, 150.4441
102.172845, 72.273, 162.2969
102.539056, 72.139, 174.2024
102.905267, 72.004, -173.8308
103.271478, 71.870, -161.7939
103.637689, 71.736, -149.6785
104.003899, 71.602, -137.4766
104.370110, 71.469, -125.1807
104.736321, 71.336, -112.7837
105.102532, 71.203, -100.2791
105.468743, 71.071, -87.6606
105.834954, 70.939, -74.9229
106.201165, 70.808, -62.0605
106.567376, 70.676, -49.0696
106.933587, 70.545, -35.9458
107.299798, 70.414, -22.6863
107.666009, 70.283, -9.2881
108.032219, 70.153, 4.2505
108.398430, 70.022, 17.9312
108.764641, 69.891, 31.7546
109.130852, 69.760, 45.7214
109.497063, 69.629, 59.8308
109.863274, 69.498, 74.0825
110.229485, 69.367, 88.4746
110.595696, 69.236, 103.0059
110.961907, 69.105, 117.6733
111.328118, 68.974, 132.4749
111.694328, 68.842, 147.4067
112.060539, 68.711, 162.4656
112.426750, 68.581, 177.6479
112.792961, 68.450, -167.0510
113.159172, 68.320, -151.6357
113.525383, 68.190, -136.1108
113.891594, 68.061, -120.4812
114.257805, 67.933, -104.7522
114.624016, 67.806, -88.9285
114.990227, 67.679, -73.0159
115.356438, 67.554, -57.0193
115.722648, 67.430, -40.9443
116.088859, 67.307, -24.7957
116.455070, 67.185, -8.5791
116.821281, 67.065, 7.7012
117.187492, 66.947, 24.0396
117.553703, 66.830, 40.4319
117.919914, 66.715, 56.8733
118.286125, 66.601, 73.3596
118.652336, 66.490, 89.8870
119.018547, 66.380, 106.4514
119.384758, 66.272, 123.0491
119.750968, 66.165, 139.6765
120.117179, 66.061, 156.3308
120.483390, 65.958, 173.0085
120.849601, 65.857, -170.2930
121.215812, 65.758, -153.5764
121.582023, 65.661, -136.8445
121.948234, 65.565, -120.0991
122.314445, 65.471, -103.3425
122.680656, 65.379, -86.5771
123.046867, 65.288, -69.8044
123.413078, 65.199, -53.0264
123.779288, 65.111, -36.2446
124.145499, 65.025, -19.4607
124.511710, 64.940, -2.6760
124.877921, 64.856, 14.1082
125.244132, 64.773, 30.8906
125.610343, 64.691, 47.6699
125.976554, 64.610, 64.4451
126.342765, 64.530, 81.2151
126.708976, 64.451, 97.9790
127.075187, 64.373, 114.7361
127.441398, 64.295, 131.4854
127.807608, 64.218, 148.2258
128.173819, 64.141, 164.9573
128.540030, 64.065, -178.3213
128.906241, 63.988, -161.6099
129.272452, 63.912, -144.9097
129.638663, 63.836, -128.2207
130.004874, 63.760, -111.5432
130.371085, 63.683, -94.8779
130.737296, 63.606, -78.2251
131.103507, 63.528, -61.5847
131.469718, 63.450, -44.9570
131.835928, 63.371, -28.3428
132.202139, 63.292, -11.7412
132.568350, 63.211, 4.8472
132.934561, 63.129, 21.4219
133.300772, 63.046, 37.9834
133.666983, 62.962, 54.5312
134.033194, 62.877, 71.0654
134.399405, 62.790, 87.5850
134.765616, 62.702, 104.0908
135.131827, 62.612, 120.5825
135.498037, 62.520, 137.0591
135.864248, 62.427, 153.5210
136.230459, 62.332, 169.9673
136.596670, 62.235, -173.6021
136.962881, 62.137, -157.1880
137.329092, 62.036, -140.7910
137.695303, 61.934, -124.4116
138.061514, 61.829, -108.0503
138.427725, 61.723, -91.7090
138.793936, 61.615, -75.3877
139.160147, 61.505, -59.0884
139.526357, 61.393, -42.8115
139.892568, 61.279, -26.5576
140.258779, 61.164, -10.3301
140.624990, 61.046, 5.8716
140.991201, 60.927, 22.0449
141.357412, 60.805, 38.1885
141.723623, 60.682, 54.3013
142.089834, 60.558, 70.3813
142.456045, 60.431, 86.4258
142.822256, 60.303, 102.4355
143.188467, 60.173, 118.4067
143.554677, 60.042, 134.3374
143.920888, 59.909, 150.2280
144.287099, 59.775, 166.0747
144.653310, 59.639, -178.1245
145.019521, 59.501, -162.3687
145.385732, 59.363, -146.6621
145.751943, 59.222, -131.0059
146.118154, 59.081, -115.4004
146.484365, 58.938, -99.8481
146.850576, 58.794, -84.3516
147.216787, 58.649, -68.9097
147.582997, 58.502, -53.5259
147.949208, 58.354, -38.2012
148.315419, 58.205, -22.9355
148.681630, 58.055, -7.7319
149.047841, 57.904, 7.4102
149.414052, 57.752, 22.4883
149.780263, 57.598, 37.5029
150.146474, 57.444, 52.4521
150.512685, 57.288, 67.3359
150.878896, 57.132, 82.1528
151.245107, 56.975, 96.9028
151.611317, 56.816, 111.5854
151.977528, 56.657, 126.1997
152.343739, 56.497, 140.7456
152.709950, 56.335, 155.2231
153.076161, 56.173, 169.6313
153.442372, 56.010, -176.0283
153.808583, 55.846, -161.7573
154.174794, 55.682, -147.5552
154.541005, 55.516, -133.4209
154.907216, 55.350, -119.3555
155.273427, 55.183, -105.3579
155.639637, 55.015, -91.4268
156.005848, 54.846, -77.5630
156.372059, 54.676, -63.7661
156.738270, 54.506, -50.0332
157.104481, 54.335, -36.3652
157.470692, 54.164, -22.7612
157.836903, 53.991, -9.2188
158.203114, 53.818, 4.2622
158.569325, 53.644, 17.6826
158.935536, 53.470, 31.0459
159.301746, 53.295, 44.3511
159.667957, 53.119, 57.6001
160.034168, 52.943, 70.7964
160.400379, 52.766, 83.9395
160.766590, 52.589, 97.0322
161.132801, 52.411, 110.0771
161.499012, 52.232, 123.0752
161.865223, 52.053, 136.0278
162.231434, 51.874, 148.9395
162.597645, 51.694, 161.8101
162.963856, 51.513, 174.6426
163.330066, 51.332, -172.5601
163.696277, 51.151, -159.7964
164.062488, 50.969, -147.0635
164.428699, 50.787, -134.3589
164.794910, 50.604, -121.6807
165.161121, 50.421, -109.0264
165.527332, 50.237, -96.3926
165.893543, 50.054, -83.7778
166.259754, 49.869, -71.1787
166.625965, 49.685, -58.5933
166.992176, 49.500, -46.0190
167.358386, 49.315, -33.4531
167.724597, 49.130, -20.8936
168.090808, 48.944, -8.3379
168.457019, 48.758, 4.2178
168.823230, 48.572, 16.7744
169.189441, 48.386, 29.3340
169.555652, 48.199, 41.9004
169.921863, 48.012, 54.4746
170.288074, 47.825, 67.0591
170.654285, 47.638, 79.6567
171.020496, 47.451, 92.2690
171.386706, 47.264, 104.8975
171.752917, 47.076, 117.5459
172.119128, 46.889, 130.2139
172.485339, 46.701, 142.9043
172.851550, 46.513, 155.6196
173.217761, 46.325, 168.3608
