Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 86.655, -119.5739
31.500000, 97.401, -177.8493
40.000000, 89.824, 159.5875
50.000000, 86.196, 173.7917
63.000000, 81.870, 47.7727
80.000000, 73.845, -102.4953
100.000000, 73.586, -126.0599
125.000000, 62.096, -137.4512
160.000000, 46.851, 48.7533
200.000000, 33.416, -49.1459
250.000000, 26.189, -115.2942
315.000000, 25.022, 149.4861
400.000000, 12.915, 81.5046
500.000000, 6.554, 18.1694
630.000000, 3.850, 119.3862
800.000000, 5.443, -141.5293
1000.000000, 5.134, 58.3809
1250.000000, 4.647, 104.7969
1600.000000, 5.988, -88.9746
2000.000000, 6.484, -30.3594
2500.000000, 11.153, -2.4414
3150.000000, 6.174, -101.6250
4000.000000, 4.585, 89.5156
5000.000000, 3.680, 139.3516
6300.000000, 4.601, -174.0078
8000.000000, 11.337, -109.7969
10000.000000, 5.732, 124.4688
12500.000000, 9.334, 52.1562
16000.000000, 15.534, 31.7188
20000.000000, 10.876, 18.1562
