Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 69.453, -107.6735
20.507812, 69.424, -107.6256
20.874023, 69.871, -108.4013
21.240234, 70.456, -109.5001
21.606445, 71.119, -110.8500
21.972656, 71.816, -112.3786
22.338867, 72.519, -114.0191
22.705078, 73.211, -115.7130
23.071289, 73.886, -117.4097
23.437500, 74.542, -119.0661
23.803711, 75.180, -120.6467
24.169922, 75.804, -122.1229
24.536132, 76.418, -123.4745
24.902343, 77.026, -124.6897
25.268554, 77.633, -125.7645
25.634765, 78.243, -126.7029
26.000976, 78.857, -127.5148
26.367187, 79.479, -128.2163
26.733398, 80.108, -128.8291
27.099609, 80.745, -129.3805
27.465820, 81.387, -129.9034
27.832031, 82.033, -130.4349
28.198242, 82.679, -131.0149
28.564452, 83.321, -131.6841
28.930663, 83.955, -132.4819
29.296874, 84.578, -133.4462
29.663085, 85.185, -134.6115
30.029296, 85.773, -136.0093
30.395507, 86.336, -137.6673
30.761718, 86.872, -139.6098
31.127929, 87.375, -141.8578
31.494140, 87.842, -144.4291
31.860351, 88.267, -147.3375
32.226562, 88.646, -150.5887
32.592772, 88.972, -154.1752
32.958983, 89.241, -158.0700
33.325194, 89.448, -162.2211
33.691405, 89.589, -166.5503
34.057616, 89.661, -170.9560
34.423827, 89.662, -175.3201
34.790038, 89.594, -179.5173
35.156249, 89.457, 176.5745
35.522460, 89.256, 173.0645
35.888671, 88.993, 170.0422
36.254882, 88.675, 167.5734
36.621092, 88.306, 165.6986
36.987303, 87.891, 164.4350
37.353514, 87.435, 163.7800
37.719725, 86.943, 163.7148
38.085936, 86.419, 164.2087
38.452147, 85.868, 165.2220
38.818358, 85.294, 166.7092
39.184569, 84.700, 168.6208
39.550780, 84.089, 170.9055
39.916991, 83.467, 173.5109
40.283201, 82.835, 176.3846
40.649412, 82.198, 179.4747
41.015623, 81.561, -177.2708
41.381834, 80.928, -173.9027
41.748045, 80.305, -170.4712
42.114256, 79.698, -167.0250
42.480467, 79.115, -163.6110
42.846678, 78.564, -160.2742
43.212889, 78.055, -157.0562
43.579100, 77.598, -153.9954
43.945311, 77.202, -151.1257
44.311521, 76.875, -148.4760
44.677732, 76.624, -146.0697
45.043943, 76.453, -143.9248
45.410154, 76.361, -142.0533
45.776365, 76.346, -140.4626
46.142576, 76.400, -139.1553
46.508787, 76.517, -138.1306
46.874998, 76.685, -137.3849
47.241209, 76.896, -136.9121
47.607420, 77.139, -136.7045
47.973631, 77.406, -136.7526
48.339841, 77.690, -137.0448
48.706052, 77.985, -137.5676
49.072263, 78.285, -138.3047
49.438474, 78.587, -139.2372
49.804685, 78.887, -140.3429
50.170896, 79.184, -141.5972
50.537107, 79.477, -142.9726
50.903318, 79.764, -144.4397
51.269529, 80.047, -145.9686
51.635740, 80.325, -147.5292
52.001951, 80.600, -149.0930
52.368161, 80.872, -150.6343
52.734372, 81.144, -152.1310
53.100583, 81.414, -153.5657
53.466794, 81.686, -154.9260
53.833005, 81.957, -156.2049
54.199216, 82.230, -157.4005
54.565427, 82.503, -158.5156
54.931638, 82.775, -159.5577
55.297849, 83.047, -160.5374
55.664060, 83.315, -161.4683
56.030271, 83.580, -162.3658
56.396481, 83.839, -163.2464
56.762692, 84.091, -164.1266
57.128903, 84.334, -165.0228
57.495114, 84.566, -165.9500
57.861325, 84.787, -166.9213
58.227536, 84.994, -167.9479
58.593747, 85.187, -169.0384
