Freq(Hz), SPL(dB), Phase(degrees)
25.000000, 83.079, -47.2453
31.500000, 95.092, -32.4781
40.000000, 86.312, -46.2523
50.000000, 85.505, 96.1899
63.000000, 82.970, 5.7862
80.000000, 76.716, 168.6104
100.000000, 72.805, -38.3832
125.000000, 61.537, 45.7446
160.000000, 47.883, -15.3311
200.000000, 28.806, 8.5479
250.000000, 32.690, -106.2229
315.000000, 27.887, 56.6987
400.000000, 16.342, -99.7012
500.000000, 6.513, -146.3311
630.000000, 6.350, -21.7456
800.000000, 4.929, -90.9404
1000.000000, 4.728, 145.1006
1250.000000, 4.526, 159.3066
1600.000000, 6.008, 133.5469
2000.000000, 5.550, -48.5938
2500.000000, 5.918, 98.1719
3150.000000, 4.803, -136.0781
4000.000000, 4.022, -118.1406
5000.000000, 2.924, 33.7266
6300.000000, 3.871, 113.0469
8000.000000, 10.696, 53.2344
10000.000000, 5.214, 32.0469
12500.000000, 8.244, -171.2188
16000.000000, 13.472, -73.1875
20000.000000, 14.758, -0.6875
