Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 70.689, 44.2110
20.507812, 70.644, 43.9454
20.874023, 71.318, 48.2526
21.240234, 72.189, 54.4381
21.606445, 73.182, 62.2058
21.972656, 74.245, 71.2605
22.338867, 75.348, 81.3325
22.705078, 76.475, 92.1927
23.071289, 77.617, 103.6576
23.437500, 78.768, 115.5852
23.803711, 79.925, 127.8650
24.169922, 81.083, 140.4077
24.536132, 82.238, 153.1374
24.902343, 83.384, 165.9859
25.268554, 84.516, 178.8892
25.634765, 85.630, -168.2185
26.000976, 86.718, -155.4085
26.367187, 87.777, -142.7601
26.733398, 88.800, -130.3599
27.099609, 89.783, -118.3015
27.465820, 90.721, -106.6845
27.832031, 91.609, -95.6126
28.198242, 92.443, -85.1902
28.564452, 93.218, -75.5157
28.930663, 93.931, -66.6743
29.296874, 94.578, -58.7295
29.663085, 95.153, -51.7151
30.029296, 95.656, -45.6277
30.395507, 96.083, -40.4218
30.761718, 96.434, -36.0084
31.127929, 96.711, -32.2613
31.494140, 96.914, -29.0276
31.860351, 97.050, -26.1416
32.226562, 97.123, -23.4369
32.592772, 97.138, -20.7561
32.958983, 97.101, -17.9548
33.325194, 97.016, -14.9016
33.691405, 96.885, -11.4761
34.057616, 96.711, -7.5656
34.423827, 96.495, -3.0659
34.790038, 96.238, 2.1173
35.156249, 95.943, 8.0637
35.522460, 95.612, 14.8339
35.888671, 95.249, 22.4653
36.254882, 94.860, 30.9706
36.621092, 94.451, 40.3382
36.987303, 94.029, 50.5345
37.353514, 93.603, 61.5077
37.719725, 93.184, 73.1920
38.085936, 92.781, 85.5117
38.452147, 92.407, 98.3851
38.818358, 92.071, 111.7277
39.184569, 91.786, 125.4547
39.550780, 91.560, 139.4835
39.916991, 91.397, 153.7349
40.283201, 91.302, 168.1343
40.649412, 91.271, -177.3870
41.015623, 91.299, -162.8914
41.381834, 91.378, -148.4340
41.748045, 91.497, -134.0618
42.114256, 91.644, -119.8137
42.480467, 91.809, -105.7188
42.846678, 91.982, -91.7969
43.212889, 92.152, -78.0569
43.579100, 92.312, -64.4980
43.945311, 92.454, -51.1085
44.311521, 92.574, -37.8666
44.677732, 92.667, -24.7421
45.043943, 92.730, -11.6970
45.410154, 92.760, 1.3127
45.776365, 92.756, 14.3342
46.142576, 92.718, 27.4166
46.508787, 92.646, 40.6082
46.874998, 92.540, 53.9545
47.241209, 92.403, 67.4971
47.607420, 92.236, 81.2732
47.973631, 92.042, 95.3138
48.339841, 91.821, 109.6446
48.706052, 91.577, 124.2856
49.072263, 91.311, 139.2522
49.438474, 91.026, 154.5535
49.804685, 90.724, 170.1947
50.170896, 90.408, -173.8245
50.537107, 90.078, -157.5090
50.903318, 89.739, -140.8701
51.269529, 89.392, -123.9241
51.635740, 89.040, -106.6940
52.001951, 88.686, -89.2091
52.368161, 88.333, -71.5054
52.734372, 87.985, -53.6243
53.100583, 87.646, -35.6135
53.466794, 87.320, -17.5244
53.833005, 87.011, 0.5880
54.199216, 86.723, 18.6670
54.565427, 86.460, 36.6548
54.931638, 86.226, 54.4943
55.297849, 86.022, 72.1295
55.664060, 85.851, 89.5070
56.030271, 85.713, 106.5763
56.396481, 85.608, 123.2910
56.762692, 85.533, 139.6086
